env,sampler,potential_fn,seed,step,eval_return,train_return_last20
pendulum,random,pvl_gae,2,700416,-994.2571666645603,-658.3529261889641
pendulum,random,pvl_gae,2,750592,-1123.1449198709927,-1100.8517989826398
pendulum,random,pvl_gae,2,800768,-1078.0625050486278,-867.8704821871552
pendulum,random,pvl_gae,2,850944,-954.7009358119598,-741.7618738907657
pendulum,random,pvl_gae,2,900096,-1060.4511835557173,-1027.612682547083
pendulum,random,pvl_gae,2,950272,-1044.2597142850493,-1030.8713197515272
pendulum,random,pvl_gae,2,1000448,-1006.6686911550473,-860.8820181528939
pendulum,random,pvl_gae,2,1050624,-1019.2609681033597,-948.473561759711
pendulum,random,pvl_gae,2,1100800,-1023.517298405915,-876.7621968798578
pendulum,random,pvl_gae,2,1150976,-1036.830272232676,-1049.4868319093143
pendulum,random,pvl_gae,2,1200128,-1014.863437897213,-978.774199835682
pendulum,random,pvl_gae,2,1250304,-1043.9736945501838,-997.6174247819592
pendulum,random,pvl_gae,2,1300480,-919.3225304265549,-602.4113878825596
pendulum,random,pvl_gae,2,1350656,-972.1752626337383,-833.3975285388542
pendulum,random,pvl_gae,2,1400832,-986.1432716990954,-973.8179621583267
pendulum,random,pvl_gae,2,1451008,-966.0113012877379,-998.9591956316406
pendulum,random,pvl_gae,2,1500160,-945.1061762195002,-689.4370102238591
pendulum,random,pvl_gae,2,1550336,-850.7231271715742,-676.6559075351804
pendulum,random,pvl_gae,2,1600512,-842.9677181284999,-794.3299529759067
pendulum,random,pvl_gae,2,1650688,-846.1597531429376,-743.9965558104494
pendulum,random,pvl_gae,2,1700864,-881.206898601983,-810.9973835575995
pendulum,random,pvl_gae,2,1750016,-916.387218669322,-955.3539688986248
pendulum,random,pvl_gae,2,1800192,-968.3797049800261,-482.75526770394083
pendulum,random,pvl_gae,2,1850368,-868.5479980536161,-679.893877083654
pendulum,random,pvl_gae,2,1900544,-853.5372908424647,-937.4754858715229
pendulum,random,pvl_gae,2,1950720,-860.351567239327,-725.4591486537007
pendulum,random,pvl_gae,2,2000896,-861.5053824155773,-1026.6501728090639
pendulum,random,pvl_gae,2,2050048,-861.4998495003275,-754.4119432310058
pendulum,random,pvl_gae,2,2100224,-899.9401293451882,-601.6659585295722
pendulum,random,pvl_gae,2,2150400,-819.9558075534358,-913.7280349334793
pendulum,random,pvl_gae,2,2200576,-824.2109173100195,-837.0396103270663
pendulum,random,pvl_gae,2,2250752,-845.5219647580149,-1139.3192880910315
pendulum,random,pvl_gae,2,2300928,-825.7630919069592,-948.8524981638213
pendulum,random,pvl_gae,2,2350080,-836.4467915066106,-744.6856988873899
pendulum,random,pvl_gae,2,2400256,-813.5420707895718,-861.3721229605701
pendulum,random,pvl_gae,2,2450432,-921.561946692345,-953.6556658438001
pendulum,random,pvl_gae,2,2500608,-986.5503053512982,-762.8183874550855
pendulum,random,pvl_gae,2,2550784,-947.6007019289785,-773.8517605604745
pendulum,random,pvl_gae,2,2600960,-940.4939652667756,-1013.2196710439626
pendulum,random,pvl_gae,2,2650112,-923.6259815003873,-939.4117877419992
pendulum,random,pvl_gae,2,2700288,-814.5563778133318,-806.9561892864014
pendulum,random,pvl_gae,2,2750464,-836.402636934894,-757.6508980972746
pendulum,random,pvl_gae,2,2800640,-827.4879937370995,-887.3692649729943
pendulum,random,pvl_gae,2,2850816,-794.202629400388,-708.872670128961
pendulum,random,pvl_gae,2,2900992,-790.813012737373,-817.6617672579443
pendulum,random,pvl_gae,2,2950144,-865.0940070844457,-950.1401121040772
pendulum,random,pvl_gae,2,2999296,-899.415808166151,-859.245693227656
pendulum,sa,pvl_gae,2,50176,-1150.1425659927947,-1319.6939951798465
pendulum,sa,pvl_gae,2,100352,-1146.5862290886057,-1261.6081177214014
pendulum,sa,pvl_gae,2,150528,-1086.441567935366,-1218.764838681434
pendulum,sa,pvl_gae,2,200704,-1095.4790224962017,-1207.7690199826848
pendulum,sa,pvl_gae,2,250880,-1220.5298563406325,-963.2446133553904
pendulum,sa,pvl_gae,2,300032,-1042.6230055379651,-1026.170294934967
pendulum,sa,pvl_gae,2,350208,-1186.3714596494779,-1206.7241561672795
pendulum,sa,pvl_gae,2,400384,-1104.232912526835,-575.1351379902352
pendulum,sa,pvl_gae,2,450560,-1006.5457083106111,-960.0182838144276
pendulum,sa,pvl_gae,2,500736,-1019.831207774646,-966.7610538147028
pendulum,sa,pvl_gae,2,550912,-995.9784548204549,-918.4229389647517
pendulum,sa,pvl_gae,2,600064,-919.951731559808,-560.4110010620691
pendulum,sa,pvl_gae,2,650240,-953.8363633165334,-855.0399919048862
pendulum,sa,pvl_gae,2,700416,-883.224026668226,-975.890999719174
pendulum,sa,pvl_gae,2,750592,-942.3009945926915,-750.2951633517214
pendulum,sa,pvl_gae,2,800768,-875.5020508475144,-823.0313152331204
pendulum,sa,pvl_gae,2,850944,-871.7515787047098,-886.5122231857907
pendulum,sa,pvl_gae,2,900096,-881.3522217311521,-681.375766874278
pendulum,sa,pvl_gae,2,950272,-925.6669074761836,-1064.180574999496
pendulum,sa,pvl_gae,2,1000448,-866.9987151200687,-929.5142758560308
pendulum,sa,pvl_gae,2,1050624,-924.7267854582391,-792.350206855237
pendulum,sa,pvl_gae,2,1100800,-875.2978577256969,-904.1152970446267
pendulum,sa,pvl_gae,2,1150976,-844.5377678872209,-1003.3891168751121
pendulum,sa,pvl_gae,2,1200128,-839.4363468750092,-759.0449587825353
pendulum,sa,pvl_gae,2,1250304,-839.3808433193826,-602.6387045308592
pendulum,sa,pvl_gae,2,1300480,-863.3962421350749,-809.5765790233581
pendulum,sa,pvl_gae,2,1350656,-992.0733135357295,-779.5928636516891
pendulum,sa,pvl_gae,2,1400832,-912.0030196114626,-876.5681972564993
pendulum,sa,pvl_gae,2,1451008,-920.2504436745983,-905.7391574732967
pendulum,sa,pvl_gae,2,1500160,-917.0439398735961,-898.9457336850826
pendulum,sa,pvl_gae,2,1550336,-964.0804575646115,-875.2168789758731
pendulum,sa,pvl_gae,2,1600512,-904.3528728672237,-771.3135539351681
pendulum,sa,pvl_gae,2,1650688,-873.764681405644,-967.6635181186808
pendulum,sa,pvl_gae,2,1700864,-951.2364181959897,-775.3489058969819
pendulum,sa,pvl_gae,2,1750016,-980.8668903216067,-958.1510126717488
pendulum,sa,pvl_gae,2,1800192,-969.7334094555562,-860.1936430332489
pendulum,sa,pvl_gae,2,1850368,-870.4314332396139,-721.2830952167056
