env,sampler,potential_fn,seed,step,eval_return,train_return_last20
pendulum,random,none,3,50176,-1203.1414821238616,-1170.8696612912818
pendulum,random,none,3,100352,-1192.6997076998023,-1158.8693145296897
pendulum,random,none,3,150528,-1149.1069141734317,-1175.076916374825
pendulum,random,none,3,200704,-1187.3176587737184,-1152.2948116104853
pendulum,random,none,3,250880,-1154.3959838532799,-1144.573994512875
pendulum,random,none,3,300032,-1253.2794565922745,-1161.4848527396466
pendulum,random,none,3,350208,-1394.399698252563,-1275.09027020771
pendulum,random,none,3,400384,-1286.4314762334327,-1258.2890585309394
pendulum,random,none,3,450560,-1075.8615224378473,-1038.5076763272996
pendulum,random,none,3,500736,-1039.2458522852564,-1023.5320608205417
pendulum,random,none,3,550912,-1043.6740963716352,-1094.5304273345719
pendulum,random,none,3,600064,-1108.346524294843,-1105.1231011891582
pendulum,random,none,3,650240,-1082.3433466622596,-1048.3605585621422
pendulum,random,none,3,700416,-1000.6321118165084,-1028.729770874705
pendulum,random,none,3,750592,-1051.2903739804408,-961.6493356946106
pendulum,random,none,3,800768,-1064.142626895654,-1157.2523029740955
pendulum,random,none,3,850944,-1054.285318938499,-1018.3606169136103
pendulum,random,none,3,900096,-1038.8333826240412,-959.8619031744469
pendulum,random,none,3,950272,-1075.860388351001,-1008.9505901213017
pendulum,random,none,3,1000448,-1070.7876281374179,-1116.0520560435455
pendulum,random,none,3,1050624,-1142.7089057739802,-1185.4488524925616
pendulum,random,none,3,1100800,-1175.5592893635921,-1266.8641522163575
pendulum,random,none,3,1150976,-1133.302507481272,-1190.1454435329415
pendulum,random,none,3,1200128,-1168.4078312219492,-1039.965711092122
pendulum,random,none,3,1250304,-1134.1621916773206,-1039.3507650848462
pendulum,random,none,3,1300480,-1144.818646164733,-1230.782429078093
pendulum,random,none,3,1350656,-1133.8986149977527,-1190.234918329914
pendulum,random,none,3,1400832,-1098.6919073556535,-1239.385238404936
pendulum,random,none,3,1451008,-1104.6220077616858,-1338.361634701808
pendulum,random,none,3,1500160,-1134.1935982378504,-1108.963671317087
pendulum,random,none,3,1550336,-1156.1949641122117,-1211.5723635305094
pendulum,random,none,3,1600512,-1114.9234700835736,-1379.9236971660393
pendulum,random,none,3,1650688,-1026.5693404920437,-961.7928810244514
pendulum,random,none,3,1700864,-1017.1658422139703,-936.9739532621918
pendulum,random,none,3,1750016,-989.0981995306786,-1029.0029664659762
pendulum,random,none,3,1800192,-992.5211067929232,-970.4833384341298
pendulum,random,none,3,1850368,-1044.9531526882968,-1150.5675887860712
pendulum,random,none,3,1900544,-948.9153842501217,-994.4112216906815
pendulum,random,none,3,1950720,-976.8863711212606,-783.80925835926
pendulum,random,none,3,2000896,-970.0094557202355,-858.1927301216765
pendulum,random,none,3,2050048,-1014.6726239492878,-912.3849032504029
pendulum,random,none,3,2100224,-1113.6144526158037,-1098.248673916503
pendulum,random,none,3,2150400,-1131.9558568777527,-1285.7056987326425
pendulum,random,none,3,2200576,-1116.3699377855241,-1158.4211237604563
pendulum,random,none,3,2250752,-1128.3658993266556,-1205.1217353741008
pendulum,random,none,3,2300928,-1038.7553851460295,-947.0173629355253
pendulum,random,none,3,2350080,-1133.884030969302,-1088.2784779514284
pendulum,random,none,3,2400256,-1186.5980577438036,-1184.461253746195
pendulum,random,none,3,2450432,-1216.2990311400195,-1347.7228813546553
pendulum,random,none,3,2500608,-1195.666185275744,-1203.2939431505679
pendulum,random,none,3,2550784,-1190.6594535505756,-1037.1221503675642
pendulum,random,none,3,2600960,-1169.1328578780713,-1079.8170415421635
pendulum,random,none,3,2650112,-1119.3266858340194,-1058.2255428914639
pendulum,random,none,3,2700288,-1182.771622018083,-1315.0865786305944
pendulum,random,none,3,2750464,-1115.682270300345,-1111.7936742490429
pendulum,random,none,3,2800640,-1136.1298300416531,-1122.6251978772148
pendulum,random,none,3,2850816,-1045.4077460567485,-1061.1694714092805
pendulum,random,none,3,2900992,-1039.0155921128935,-1048.673808110039
pendulum,random,none,3,2950144,-1075.70108394501,-1173.052359722871
pendulum,random,none,3,2999296,-1042.0743982694532,-1091.3416816444665
pendulum,random,pvl_gae,3,50176,-1204.4441772189334,-1189.567525446361
pendulum,random,pvl_gae,3,100352,-1154.777012895399,-1248.8003483227715
pendulum,random,pvl_gae,3,150528,-1239.6980838202303,-1320.3680551145235
pendulum,random,pvl_gae,3,200704,-1172.6397151515364,-1169.7379779867795
pendulum,random,pvl_gae,3,250880,-1139.45269960036,-1035.6739154463103
pendulum,random,pvl_gae,3,300032,-1116.9972772685303,-1091.0433927489548
pendulum,random,pvl_gae,3,350208,-1160.3574654567878,-1098.3672112726304
pendulum,random,pvl_gae,3,400384,-1126.2534638951174,-998.1796933243601
pendulum,random,pvl_gae,3,450560,-1080.8600079031273,-979.9820435550103
pendulum,random,pvl_gae,3,500736,-1135.8807753318624,-1002.8458737421745
pendulum,random,pvl_gae,3,550912,-1188.3170744742622,-841.9509411028237
pendulum,random,pvl_gae,3,600064,-1095.9460363646826,-985.9661492005132
pendulum,random,pvl_gae,3,650240,-1218.6642578691778,-890.5301998074431
pendulum,random,pvl_gae,3,700416,-1078.5146097871925,-833.0285715643155
pendulum,random,pvl_gae,3,750592,-1142.179831996539,-981.3775039040038
pendulum,random,pvl_gae,3,800768,-1096.089431584181,-915.9720751663496
pendulum,random,pvl_gae,3,850944,-1083.563288512546,-674.2585935107015
pendulum,random,pvl_gae,3,900096,-1138.8240634768592,-1077.9728481730685
pendulum,random,pvl_gae,3,950272,-1141.3549392400796,-886.8083243549657
pendulum,random,pvl_gae,3,1000448,-1115.8762300329718,-973.6102972941135
