env,sampler,potential_fn,seed,step,eval_return,train_return_last20
pendulum,random,none,1,50176,-1218.1111952159977,-1291.8145821600106
pendulum,random,none,1,100352,-1243.2967147406716,-1437.2955676669621
pendulum,random,none,1,150528,-1168.9317607200444,-1168.7391732873461
pendulum,random,none,1,200704,-1188.1590598992245,-1217.1212743004448
pendulum,random,none,1,250880,-1136.7562783770652,-1213.9114021713299
pendulum,random,none,1,300032,-1107.9592301135815,-1083.015519422676
pendulum,random,none,1,350208,-1092.0888836321838,-1045.0926224275763
pendulum,random,none,1,400384,-1112.000548246291,-1130.0583052828179
pendulum,random,none,1,450560,-1073.7498833353047,-1084.7211734462458
pendulum,random,none,1,500736,-1047.5398994340371,-1104.3810133775876
pendulum,random,none,1,550912,-1074.1457840152414,-1124.7851391827817
pendulum,random,none,1,600064,-1092.4189563424961,-1165.7666205969135
pendulum,random,none,1,650240,-1175.933432438031,-1457.300982978046
pendulum,random,none,1,700416,-1168.5137639993227,-1010.2598341887885
pendulum,random,none,1,750592,-1153.0304743645568,-1155.0388864417368
pendulum,random,none,1,800768,-1057.9503922940135,-1033.9662305546012
pendulum,random,none,1,850944,-1062.6818753154569,-1005.2219485209141
pendulum,random,none,1,900096,-1032.4581675828351,-1093.2016474532666
pendulum,random,none,1,950272,-993.4317543613354,-1091.5553269739246
pendulum,random,none,1,1000448,-963.2444741675537,-1008.1802594284324
pendulum,random,none,1,1050624,-965.6933856971165,-828.0832250580097
pendulum,random,none,1,1100800,-956.6014880241776,-929.1364336619132
pendulum,random,none,1,1150976,-903.4381827657381,-978.6424176421302
pendulum,random,none,1,1200128,-911.0811853803068,-1028.6443710242359
pendulum,random,none,1,1250304,-929.090054015281,-1134.7700888853713
pendulum,random,none,1,1300480,-900.9978789966734,-1038.6443653843862
pendulum,random,none,1,1350656,-958.1791058243248,-972.303723507556
pendulum,random,none,1,1400832,-921.4316870815103,-763.9660449800427
pendulum,random,none,1,1451008,-964.4609329295964,-1027.2866496433794
pendulum,random,none,1,1500160,-895.0016409210633,-1176.0878257389359
pendulum,random,none,1,1550336,-893.0292542781408,-864.457553188728
pendulum,random,none,1,1600512,-884.8984100497369,-900.9967504070919
pendulum,random,none,1,1650688,-848.2461522387285,-1010.8799451064078
pendulum,random,none,1,1700864,-925.0936586459674,-634.9576212921218
pendulum,random,none,1,1750016,-863.263012971595,-902.1409487201165
pendulum,random,none,1,1800192,-909.9436810826223,-1022.0575768858768
pendulum,random,none,1,1850368,-831.0091188352628,-1120.627733976943
pendulum,random,none,1,1900544,-833.7121591906498,-819.0412100104513
pendulum,random,none,1,1950720,-890.2202714604063,-1056.7942872676288
pendulum,random,none,1,2000896,-855.8686401841221,-910.1320226281332
pendulum,random,none,1,2050048,-820.0961276585509,-1096.9866358877746
pendulum,random,none,1,2100224,-811.1837057842503,-1007.0968296674586
pendulum,random,none,1,2150400,-833.4682215915788,-965.2959578208732
pendulum,random,none,1,2200576,-860.3886138843254,-863.7581699313821
pendulum,random,none,1,2250752,-830.5312724593207,-928.7954342183817
pendulum,random,none,1,2300928,-839.8192091055842,-888.2259213828733
pendulum,random,none,1,2350080,-839.1524962575762,-1004.7658315235527
pendulum,random,none,1,2400256,-838.5307528413643,-1140.2561638623142
pendulum,random,none,1,2450432,-842.6034198629372,-959.9655390903457
pendulum,random,none,1,2500608,-859.7315735772585,-863.9314904207826
pendulum,random,none,1,2550784,-848.917818509668,-955.7639157543663
pendulum,random,none,1,2600960,-883.1164008421193,-955.3125297624974
pendulum,random,none,1,2650112,-874.8112782148914,-1158.617612676546
pendulum,random,none,1,2700288,-899.7172083898205,-851.450747116845
pendulum,random,none,1,2750464,-874.5714178330765,-1122.9247867882746
pendulum,random,none,1,2800640,-833.744358168977,-703.1953553890243
pendulum,random,none,1,2850816,-830.608037587794,-1030.70845877499
pendulum,random,none,1,2900992,-835.4312558703102,-878.7427089046332
pendulum,random,none,1,2950144,-844.1302214834161,-988.9615334268055
pendulum,random,none,1,2999296,-833.292461586472,-757.4095225852243
pendulum,random,pvl_gae,1,50176,-1247.349325687687,-1318.6474883108115
pendulum,random,pvl_gae,1,100352,-1211.7487746131076,-1296.9737197080708
pendulum,random,pvl_gae,1,150528,-1178.4648865647316,-1295.7487973259606
pendulum,random,pvl_gae,1,200704,-1129.0960173999326,-1166.3674314083096
pendulum,random,pvl_gae,1,250880,-1113.6110416606998,-1184.1300108980445
pendulum,random,pvl_gae,1,300032,-1268.2254377300446,-949.0399020483153
pendulum,random,pvl_gae,1,350208,-1212.3293763343838,-805.2058952969712
pendulum,random,pvl_gae,1,400384,-1151.66497944639,-648.7841770504715
pendulum,random,pvl_gae,1,450560,-1138.5633493791631,-867.1887905934134
pendulum,random,pvl_gae,1,500736,-1155.9553719554442,-874.5302765261598
pendulum,random,pvl_gae,1,550912,-1134.0755663531352,-766.492901335198
pendulum,random,pvl_gae,1,600064,-1089.442258732032,-904.0898665157662
pendulum,random,pvl_gae,1,650240,-1061.321351202663,-835.3678691978245
pendulum,random,pvl_gae,1,700416,-1117.9758871083222,-1128.5055951939648
pendulum,random,pvl_gae,1,750592,-1042.3320607784854,-926.9680984890005
pendulum,random,pvl_gae,1,800768,-1030.1622848260508,-979.377779430359
pendulum,random,pvl_gae,1,850944,-1009.0831630837357,-862.1868494127659
pendulum,random,pvl_gae,1,900096,-977.3753418996799,-808.5089810760126
pendulum,random,pvl_gae,1,950272,-1026.884824990769,-1014.6240449177691
pendulum,random,pvl_gae,1,1000448,-1053.9075750520183,-680.088227926554
pendulum,random,pvl_gae,1,1050624,-973.75154682244,-686.6893146052455
pendulum,random,pvl_gae,1,1100800,-1013.776020336284,-772.888342431632
pendulum,random,pvl_gae,1,1150976,-990.5061551748736,-817.4789576870957
pendulum,random,pvl_gae,1,1200128,-914.8913341244386,-897.7995967020928
pendulum,random,pvl_gae,1,1250304,-910.6363201423321,-1022.1036423028543
pendulum,random,pvl_gae,1,1300480,-903.1450508719867,-643.9281494174229
pendulum,random,pvl_gae,1,1350656,-856.7321240764855,-794.4792236697231
pendulum,random,pvl_gae,1,1400832,-843.0305185070575,-987.2248625444979
pendulum,random,pvl_gae,1,1451008,-854.3243104787175,-853.1654858357326
pendulum,random,pvl_gae,1,1500160,-846.4636771652046,-808.8254958641522
pendulum,random,pvl_gae,1,1550336,-844.0585848630458,-836.7785291142497
pendulum,random,pvl_gae,1,1600512,-867.5109036049387,-966.7854572342889
pendulum,random,pvl_gae,1,1650688,-822.7657365874068,-968.6653345556502
pendulum,random,pvl_gae,1,1700864,-806.6802528354779,-596.7150442745601
pendulum,random,pvl_gae,1,1750016,-785.8508243955227,-632.960618586767
pendulum,random,pvl_gae,1,1800192,-802.6528515619931,-791.3104296850413
pendulum,random,pvl_gae,1,1850368,-848.7330984214357,-583.2369156868241
pendulum,random,pvl_gae,1,1900544,-891.7053521175251,-673.4566386572267
pendulum,random,pvl_gae,1,1950720,-904.0154338964012,-966.9186659717674
pendulum,random,pvl_gae,1,2000896,-922.3534327525853,-799.6569801964567
pendulum,random,pvl_gae,1,2050048,-947.9794618107422,-693.347934289153
pendulum,random,pvl_gae,1,2100224,-892.3629839298163,-759.8133750404753
pendulum,random,pvl_gae,1,2150400,-888.4812551783033,-798.5525970886428
pendulum,random,pvl_gae,1,2200576,-892.380868036727,-828.028020889063
pendulum,random,pvl_gae,1,2250752,-919.7328888822523,-841.0465787972764
pendulum,random,pvl_gae,1,2300928,-888.616221467876,-594.1771157507817
pendulum,random,pvl_gae,1,2350080,-912.8263802933033,-691.0579795563801
pendulum,random,pvl_gae,1,2400256,-968.8869762204424,-982.7318939583168
pendulum,random,pvl_gae,1,2450432,-903.8794318794493,-705.1711207087005
pendulum,random,pvl_gae,1,2500608,-950.9670447280369,-803.5272028183915
pendulum,random,pvl_gae,1,2550784,-957.0965888649271,-869.4948015658201
pendulum,random,pvl_gae,1,2600960,-843.6382792140887,-1185.664827540034
pendulum,random,pvl_gae,1,2650112,-820.8221538655675,-601.3126020811471
pendulum,random,pvl_gae,1,2700288,-851.4117638573965,-753.5243914111641
pendulum,random,pvl_gae,1,2750464,-845.7211435883854,-639.366208718159
pendulum,random,pvl_gae,1,2800640,-784.9042714693235,-771.6995310965467
pendulum,random,pvl_gae,1,2850816,-829.0426582535929,-620.6536793320874
pendulum,random,pvl_gae,1,2900992,-809.6309729202732,-947.97385220125
pendulum,random,pvl_gae,1,2950144,-808.1343988469359,-760.2039618630455
pendulum,random,pvl_gae,1,2999296,-839.8422001674985,-584.5982571944197
pendulum,sa,pvl_gae,1,50176,-1185.6327978299503,-1237.8646848270737
pendulum,sa,pvl_gae,1,100352,-1206.82511369947,-1198.1006209553218
pendulum,sa,pvl_gae,1,150528,-1151.840137263718,-1235.8049691977865
pendulum,sa,pvl_gae,1,200704,-1154.982153443148,-1062.0811166467827
pendulum,sa,pvl_gae,1,250880,-1135.281079040991,-1088.2780451852593
pendulum,sa,pvl_gae,1,300032,-1134.9849739840504,-1187.5393027533457
pendulum,sa,pvl_gae,1,350208,-1116.1902666802696,-974.1388923472647
pendulum,sa,pvl_gae,1,400384,-1239.364519633648,-988.2088252197846
