env,sampler,potential_fn,seed,step,eval_return,train_return_last20
acrobot,random,none,3,25600,-183.8,-266.3
acrobot,random,none,3,50176,-115.57777777777778,-125.3
acrobot,random,none,3,75776,-105.93333333333334,-148.1
acrobot,random,none,3,100352,-103.31111111111112,-126.45
acrobot,random,none,3,125952,-95.6,-140.9
acrobot,random,none,3,150528,-93.4888888888889,-114.25
acrobot,random,none,3,175104,-88.66666666666667,-89.5
acrobot,random,none,3,200704,-82.2,-85.55
acrobot,random,none,3,225280,-91.8,-87.95
acrobot,random,none,3,250880,-96.06666666666666,-120.35
acrobot,random,none,3,275456,-81.88888888888889,-78.95
acrobot,random,none,3,300032,-95.6,-129.45
acrobot,random,none,3,325632,-92.31111111111112,-113.6
acrobot,random,none,3,350208,-86.46666666666667,-102.1
acrobot,random,none,3,375808,-101.37777777777778,-88.2
acrobot,random,none,3,400384,-96.15555555555555,-103.85
acrobot,random,none,3,425984,-101.93333333333334,-87.55
acrobot,random,none,3,450560,-89.88888888888889,-91.2
acrobot,random,none,3,475136,-87.04444444444445,-93.6
acrobot,random,none,3,500736,-106.13333333333334,-92.3
acrobot,random,none,3,525312,-102.95555555555555,-104.05
acrobot,random,none,3,550912,-96.02222222222223,-85.3
acrobot,random,none,3,575488,-102.4,-81.55
acrobot,random,none,3,600064,-87.44444444444444,-112.1
acrobot,random,none,3,625664,-86.66666666666667,-83.85
acrobot,random,none,3,650240,-90.31111111111112,-88.2
acrobot,random,none,3,675840,-88.82222222222222,-94.4
acrobot,random,none,3,700416,-88.37777777777778,-130.95
acrobot,random,none,3,726016,-96.08888888888889,-81.55
acrobot,random,none,3,750592,-90.4888888888889,-105.0
acrobot,random,none,3,775168,-83.4888888888889,-113.4
acrobot,random,none,3,800768,-95.24444444444444,-120.55
acrobot,random,none,3,825344,-85.64444444444445,-80.45
acrobot,random,none,3,850944,-96.46666666666667,-114.0
acrobot,random,none,3,875520,-83.71111111111111,-96.5
acrobot,random,none,3,900096,-82.06666666666666,-97.85
acrobot,random,none,3,925696,-94.13333333333334,-100.05
acrobot,random,none,3,950272,-89.57777777777778,-82.5
acrobot,random,none,3,975872,-82.28888888888889,-99.1
acrobot,random,none,3,999424,-84.77777777777777,-79.85
acrobot,random,pvl_gae,3,25600,-140.86666666666667,-184.25
acrobot,random,pvl_gae,3,50176,-105.04444444444445,-110.4
acrobot,random,pvl_gae,3,75776,-99.2,-110.45
acrobot,random,pvl_gae,3,100352,-94.33333333333333,-79.85
acrobot,random,pvl_gae,3,125952,-100.64444444444445,-75.3
acrobot,random,pvl_gae,3,150528,-86.11111111111111,-108.05
acrobot,random,pvl_gae,3,175104,-80.04444444444445,-76.95
acrobot,random,pvl_gae,3,200704,-82.17777777777778,-86.1
acrobot,random,pvl_gae,3,225280,-99.93333333333334,-89.9
acrobot,random,pvl_gae,3,250880,-93.8,-83.95
acrobot,random,pvl_gae,3,275456,-94.4,-80.0
acrobot,random,pvl_gae,3,300032,-82.55555555555556,-67.3
acrobot,random,pvl_gae,3,325632,-85.84444444444445,-83.0
acrobot,random,pvl_gae,3,350208,-85.55555555555556,-118.9
acrobot,random,pvl_gae,3,375808,-104.31111111111112,-71.9
acrobot,random,pvl_gae,3,400384,-97.42222222222222,-85.45
acrobot,random,pvl_gae,3,425984,-91.73333333333333,-83.6
acrobot,random,pvl_gae,3,450560,-88.42222222222222,-73.1
acrobot,random,pvl_gae,3,475136,-91.24444444444444,-102.3
acrobot,random,pvl_gae,3,500736,-85.31111111111112,-70.45
acrobot,random,pvl_gae,3,525312,-90.57777777777778,-92.55
acrobot,random,pvl_gae,3,550912,-78.4888888888889,-90.85
acrobot,random,pvl_gae,3,575488,-84.75555555555556,-94.3
acrobot,random,pvl_gae,3,600064,-90.04444444444445,-79.45
acrobot,random,pvl_gae,3,625664,-79.77777777777777,-77.95
acrobot,random,pvl_gae,3,650240,-84.33333333333333,-73.45
acrobot,random,pvl_gae,3,675840,-75.04444444444445,-75.7
acrobot,random,pvl_gae,3,700416,-82.06666666666666,-86.15
acrobot,random,pvl_gae,3,726016,-98.8,-74.5
acrobot,random,pvl_gae,3,750592,-81.2,-98.9
acrobot,random,pvl_gae,3,775168,-85.73333333333333,-79.55
acrobot,random,pvl_gae,3,800768,-89.2,-73.55
acrobot,random,pvl_gae,3,825344,-95.37777777777778,-82.75
acrobot,random,pvl_gae,3,850944,-90.62222222222222,-104.6
acrobot,random,pvl_gae,3,875520,-78.68888888888888,-75.9
acrobot,random,pvl_gae,3,900096,-77.62222222222222,-79.45
acrobot,random,pvl_gae,3,925696,-94.88888888888889,-83.55
acrobot,random,pvl_gae,3,950272,-90.4,-72.65
acrobot,random,pvl_gae,3,975872,-76.57777777777778,-97.35
acrobot,random,pvl_gae,3,999424,-80.71111111111111,-88.15
acrobot,sa,pvl_gae,3,25600,-208.24444444444444,-273.95
acrobot,sa,pvl_gae,3,50176,-108.4,-99.65
acrobot,sa,pvl_gae,3,75776,-104.64444444444445,-121.35
acrobot,sa,pvl_gae,3,100352,-108.71111111111111,-117.65
acrobot,sa,pvl_gae,3,125952,-101.68888888888888,-79.55
acrobot,sa,pvl_gae,3,150528,-97.42222222222222,-78.45
acrobot,sa,pvl_gae,3,175104,-86.66666666666667,-75.35
acrobot,sa,pvl_gae,3,200704,-86.4,-78.65
acrobot,sa,pvl_gae,3,225280,-93.84444444444445,-79.85
acrobot,sa,pvl_gae,3,250880,-78.73333333333333,-89.05
acrobot,sa,pvl_gae,3,275456,-103.71111111111111,-75.7
acrobot,sa,pvl_gae,3,300032,-77.55555555555556,-84.9
acrobot,sa,pvl_gae,3,325632,-86.42222222222222,-98.65
acrobot,sa,pvl_gae,3,350208,-83.35555555555555,-79.25
acrobot,sa,pvl_gae,3,375808,-79.37777777777778,-80.4
acrobot,sa,pvl_gae,3,400384,-77.75555555555556,-79.0
acrobot,sa,pvl_gae,3,425984,-100.17777777777778,-84.0
acrobot,sa,pvl_gae,3,450560,-86.6,-80.4
acrobot,sa,pvl_gae,3,475136,-83.11111111111111,-69.75
acrobot,sa,pvl_gae,3,500736,-89.93333333333334,-106.85
acrobot,sa,pvl_gae,3,525312,-78.42222222222222,-90.55
acrobot,sa,pvl_gae,3,550912,-74.55555555555556,-60.25
acrobot,sa,pvl_gae,3,575488,-86.02222222222223,-76.5
acrobot,sa,pvl_gae,3,600064,-94.28888888888889,-76.5
acrobot,sa,pvl_gae,3,625664,-85.97777777777777,-101.8
acrobot,sa,pvl_gae,3,650240,-89.88888888888889,-79.55
acrobot,sa,pvl_gae,3,675840,-91.64444444444445,-66.4
acrobot,sa,pvl_gae,3,700416,-93.84444444444445,-73.9
acrobot,sa,pvl_gae,3,726016,-80.02222222222223,-97.3
acrobot,sa,pvl_gae,3,750592,-86.08888888888889,-90.55
acrobot,sa,pvl_gae,3,775168,-88.97777777777777,-75.15
acrobot,sa,pvl_gae,3,800768,-81.2,-101.65
acrobot,sa,pvl_gae,3,825344,-94.0,-106.15
acrobot,sa,pvl_gae,3,850944,-82.08888888888889,-75.4
acrobot,sa,pvl_gae,3,875520,-83.66666666666667,-70.75
