env,sampler,potential_fn,seed,step,eval_return,train_return_last20
acrobot,random,none,1,25600,-177.7111111111111,-233.55
acrobot,random,none,1,50176,-126.75555555555556,-170.6
acrobot,random,none,1,75776,-127.55555555555556,-132.3
acrobot,random,none,1,100352,-118.82222222222222,-148.5
acrobot,random,none,1,125952,-106.84444444444445,-101.0
acrobot,random,none,1,150528,-113.22222222222223,-104.1
acrobot,random,none,1,175104,-88.11111111111111,-105.55
acrobot,random,none,1,200704,-78.35555555555555,-98.0
acrobot,random,none,1,225280,-87.86666666666666,-83.65
acrobot,random,none,1,250880,-88.37777777777778,-114.1
acrobot,random,none,1,275456,-93.2,-113.55
acrobot,random,none,1,300032,-84.06666666666666,-93.25
acrobot,random,none,1,325632,-80.13333333333334,-122.1
acrobot,random,none,1,350208,-79.66666666666667,-99.15
acrobot,random,none,1,375808,-89.08888888888889,-95.15
acrobot,random,none,1,400384,-96.82222222222222,-99.5
acrobot,random,none,1,425984,-86.68888888888888,-109.45
acrobot,random,none,1,450560,-89.4888888888889,-118.2
acrobot,random,none,1,475136,-92.4888888888889,-88.85
acrobot,random,none,1,500736,-108.24444444444444,-84.7
acrobot,random,none,1,525312,-84.53333333333333,-130.95
acrobot,random,none,1,550912,-116.04444444444445,-87.7
acrobot,random,none,1,575488,-79.02222222222223,-92.0
acrobot,random,none,1,600064,-89.4,-109.3
acrobot,random,none,1,625664,-114.44444444444444,-101.65
acrobot,random,none,1,650240,-103.13333333333334,-79.6
acrobot,random,none,1,675840,-85.4,-84.35
acrobot,random,none,1,700416,-91.4888888888889,-88.95
acrobot,random,none,1,726016,-96.35555555555555,-120.55
acrobot,random,none,1,750592,-98.68888888888888,-84.7
acrobot,random,none,1,775168,-82.53333333333333,-88.0
acrobot,random,none,1,800768,-98.33333333333333,-108.3
acrobot,random,none,1,825344,-74.37777777777778,-122.2
acrobot,random,none,1,850944,-95.44444444444444,-82.75
acrobot,random,none,1,875520,-91.13333333333334,-93.05
acrobot,random,none,1,900096,-96.88888888888889,-80.85
acrobot,random,none,1,925696,-101.64444444444445,-99.9
acrobot,random,none,1,950272,-107.4,-81.25
acrobot,random,none,1,975872,-78.66666666666667,-88.6
acrobot,random,none,1,999424,-96.4888888888889,-81.8
