env,sampler,potential_fn,seed,step,eval_return,train_return_last20
acrobot,sa,pvl_gae,2,300032,-89.24444444444444,-95.6
acrobot,sa,pvl_gae,2,325632,-81.75555555555556,-82.3
acrobot,sa,pvl_gae,2,350208,-78.06666666666666,-82.4
acrobot,sa,pvl_gae,2,375808,-77.31111111111112,-69.7
acrobot,sa,pvl_gae,2,400384,-73.77777777777777,-67.55
acrobot,sa,pvl_gae,2,425984,-97.17777777777778,-68.05
acrobot,sa,pvl_gae,2,450560,-82.37777777777778,-70.8
acrobot,sa,pvl_gae,2,475136,-77.97777777777777,-77.2
acrobot,sa,pvl_gae,2,500736,-92.4888888888889,-75.65
acrobot,sa,pvl_gae,2,525312,-84.75555555555556,-101.8
acrobot,sa,pvl_gae,2,550912,-100.62222222222222,-95.05
acrobot,sa,pvl_gae,2,575488,-77.26666666666667,-80.65
acrobot,sa,pvl_gae,2,600064,-75.93333333333334,-66.5
acrobot,sa,pvl_gae,2,625664,-77.42222222222222,-89.6
acrobot,sa,pvl_gae,2,650240,-74.62222222222222,-89.35
acrobot,sa,pvl_gae,2,675840,-98.88888888888889,-86.1
acrobot,sa,pvl_gae,2,700416,-75.42222222222222,-71.55
acrobot,sa,pvl_gae,2,726016,-76.55555555555556,-118.15
acrobot,sa,pvl_gae,2,750592,-74.2,-69.9
acrobot,sa,pvl_gae,2,775168,-96.13333333333334,-100.0
acrobot,sa,pvl_gae,2,800768,-86.88888888888889,-59.35
acrobot,sa,pvl_gae,2,825344,-73.68888888888888,-100.25
acrobot,sa,pvl_gae,2,850944,-79.95555555555555,-85.5
acrobot,sa,pvl_gae,2,875520,-74.4,-88.75
acrobot,sa,pvl_gae,2,900096,-90.82222222222222,-83.65
acrobot,sa,pvl_gae,2,925696,-75.88888888888889,-74.6
acrobot,sa,pvl_gae,2,950272,-77.11111111111111,-87.3
acrobot,sa,pvl_gae,2,975872,-76.04444444444445,-81.3
acrobot,sa,pvl_gae,2,999424,-102.06666666666666,-64.25
