env,sampler,potential_fn,seed,step,eval_return,train_return_last20
cartpole,random,none,3,25600,116.4,91.2
cartpole,random,none,3,50176,264.9111111111111,235.7
cartpole,random,none,3,75776,284.2,182.55
cartpole,random,none,3,100352,191.15555555555557,249.2
cartpole,random,none,3,125952,219.48888888888888,174.9
cartpole,random,none,3,150528,309.8222222222222,168.7
cartpole,random,none,3,175104,415.1777777777778,316.4
cartpole,random,none,3,200704,449.31111111111113,350.2
cartpole,random,none,3,225280,251.13333333333333,214.05
cartpole,random,none,3,250880,272.2888888888889,352.05
cartpole,random,none,3,275456,275.7111111111111,228.1
cartpole,random,none,3,300032,346.0,284.55
cartpole,random,none,3,325632,432.5111111111111,400.9
cartpole,random,none,3,350208,462.6,362.9
cartpole,random,none,3,375808,452.6666666666667,427.3
cartpole,random,none,3,400384,473.55555555555554,476.55
cartpole,random,none,3,425984,432.2,385.55
cartpole,random,none,3,450560,172.8,169.25
cartpole,random,none,3,475136,177.6,154.05
cartpole,random,none,3,500736,201.88888888888889,190.65
cartpole,random,none,3,525312,476.53333333333336,255.3
cartpole,random,none,3,550912,477.77777777777777,475.2
cartpole,random,none,3,575488,478.73333333333335,425.15
cartpole,random,none,3,600064,339.8222222222222,238.2
cartpole,random,none,3,625664,482.3777777777778,467.1
cartpole,random,none,3,650240,434.0,328.35
cartpole,random,none,3,675840,353.64444444444445,370.3
cartpole,random,none,3,700416,462.4888888888889,453.45
cartpole,random,none,3,726016,387.02222222222224,291.45
cartpole,random,none,3,750592,443.0444444444444,400.2
cartpole,random,none,3,775168,459.68888888888887,417.65
cartpole,random,none,3,800768,253.9777777777778,399.85
cartpole,random,none,3,825344,407.55555555555554,401.75
cartpole,random,none,3,850944,425.84444444444443,344.5
cartpole,random,none,3,875520,391.4,402.4
cartpole,random,none,3,900096,357.4222222222222,283.0
cartpole,random,none,3,925696,464.5111111111111,383.5
cartpole,random,none,3,950272,370.84444444444443,352.45
cartpole,random,none,3,975872,458.8888888888889,348.7
cartpole,random,none,3,999424,366.8222222222222,389.95
cartpole,random,pvl_gae,3,25600,96.0,85.75
cartpole,random,pvl_gae,3,50176,253.66666666666666,245.3
cartpole,random,pvl_gae,3,75776,210.11111111111111,201.55
cartpole,random,pvl_gae,3,100352,188.37777777777777,165.5
cartpole,random,pvl_gae,3,125952,252.44444444444446,251.35
cartpole,random,pvl_gae,3,150528,233.0,384.9
cartpole,random,pvl_gae,3,175104,187.13333333333333,179.65
cartpole,random,pvl_gae,3,200704,196.22222222222223,196.65
cartpole,random,pvl_gae,3,225280,229.53333333333333,188.35
cartpole,random,pvl_gae,3,250880,382.55555555555554,328.1
cartpole,random,pvl_gae,3,275456,460.68888888888887,473.2
cartpole,random,pvl_gae,3,300032,449.06666666666666,408.6
cartpole,random,pvl_gae,3,325632,441.73333333333335,370.05
cartpole,random,pvl_gae,3,350208,471.46666666666664,450.1
cartpole,random,pvl_gae,3,375808,481.1777777777778,423.9
cartpole,random,pvl_gae,3,400384,478.4,427.8
cartpole,random,pvl_gae,3,425984,407.3777777777778,405.8
cartpole,random,pvl_gae,3,450560,437.4222222222222,369.85
cartpole,random,pvl_gae,3,475136,483.02222222222224,375.2
cartpole,random,pvl_gae,3,500736,488.9555555555556,429.0
cartpole,random,pvl_gae,3,525312,329.24444444444447,367.3
cartpole,random,pvl_gae,3,550912,411.68888888888887,403.6
cartpole,random,pvl_gae,3,575488,488.9555555555556,450.1
cartpole,random,pvl_gae,3,600064,435.15555555555557,441.8
cartpole,random,pvl_gae,3,625664,439.5777777777778,434.4
cartpole,random,pvl_gae,3,650240,478.84444444444443,463.95
cartpole,random,pvl_gae,3,675840,419.3333333333333,338.9
cartpole,random,pvl_gae,3,700416,443.0444444444444,405.45
cartpole,random,pvl_gae,3,726016,430.24444444444447,382.9
cartpole,random,pvl_gae,3,750592,332.9111111111111,406.35
cartpole,random,pvl_gae,3,775168,438.75555555555553,407.6
cartpole,random,pvl_gae,3,800768,422.53333333333336,412.75
cartpole,random,pvl_gae,3,825344,460.3333333333333,397.7
cartpole,random,pvl_gae,3,850944,447.1333333333333,437.2
cartpole,random,pvl_gae,3,875520,459.8888888888889,420.3
cartpole,random,pvl_gae,3,900096,304.6,283.65
cartpole,random,pvl_gae,3,925696,445.73333333333335,416.15
cartpole,random,pvl_gae,3,950272,424.0444444444444,423.65
cartpole,random,pvl_gae,3,975872,478.6222222222222,428.5
cartpole,random,pvl_gae,3,999424,441.06666666666666,442.2
cartpole,sa,pvl_gae,3,25600,73.2,87.9
cartpole,sa,pvl_gae,3,50176,181.4,196.7
cartpole,sa,pvl_gae,3,75776,275.9111111111111,265.05
cartpole,sa,pvl_gae,3,100352,218.77777777777777,185.85
cartpole,sa,pvl_gae,3,125952,214.26666666666668,247.0
cartpole,sa,pvl_gae,3,150528,201.22222222222223,174.6
cartpole,sa,pvl_gae,3,175104,384.53333333333336,311.2
cartpole,sa,pvl_gae,3,200704,340.8888888888889,216.05
cartpole,sa,pvl_gae,3,225280,385.5777777777778,272.1
cartpole,sa,pvl_gae,3,250880,365.4222222222222,330.3
cartpole,sa,pvl_gae,3,275456,385.31111111111113,331.0
cartpole,sa,pvl_gae,3,300032,445.77777777777777,463.0
cartpole,sa,pvl_gae,3,325632,252.53333333333333,261.5
cartpole,sa,pvl_gae,3,350208,224.11111111111111,225.85
cartpole,sa,pvl_gae,3,375808,288.02222222222224,287.0
cartpole,sa,pvl_gae,3,400384,430.93333333333334,377.7
cartpole,sa,pvl_gae,3,425984,436.9111111111111,359.5
cartpole,sa,pvl_gae,3,450560,456.97777777777776,349.9
cartpole,sa,pvl_gae,3,475136,445.53333333333336,378.25
cartpole,sa,pvl_gae,3,500736,344.44444444444446,436.7
cartpole,sa,pvl_gae,3,525312,481.0888888888889,376.8
cartpole,sa,pvl_gae,3,550912,427.68888888888887,452.6
cartpole,sa,pvl_gae,3,575488,435.46666666666664,446.1
cartpole,sa,pvl_gae,3,600064,301.0,365.0
cartpole,sa,pvl_gae,3,625664,460.84444444444443,444.25
cartpole,sa,pvl_gae,3,650240,478.0,398.8
cartpole,sa,pvl_gae,3,675840,431.1777777777778,408.3
cartpole,sa,pvl_gae,3,700416,450.9555555555556,372.85
cartpole,sa,pvl_gae,3,726016,339.8888888888889,217.65
cartpole,sa,pvl_gae,3,750592,480.9555555555556,416.45
cartpole,sa,pvl_gae,3,775168,411.1777777777778,410.25
cartpole,sa,pvl_gae,3,800768,425.93333333333334,424.4
cartpole,sa,pvl_gae,3,825344,488.9555555555556,450.1
cartpole,sa,pvl_gae,3,850944,433.4,409.1
cartpole,sa,pvl_gae,3,875520,453.2888888888889,447.7
cartpole,sa,pvl_gae,3,900096,422.8888888888889,431.8
cartpole,sa,pvl_gae,3,925696,402.5111111111111,460.25
cartpole,sa,pvl_gae,3,950272,442.6,475.05
cartpole,sa,pvl_gae,3,975872,450.64444444444445,456.55
cartpole,sa,pvl_gae,3,999424,454.0,407.0
