arm,seed,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
B_sa,1,40960,282,0.13120567375886524,0.12333333333333334,263.5496453900709,138,0.07971014492753623,0.07333333333333333,269.6014492753623,93,0.043010752688172046,0.04,252.65591397849462,95,0.11578947368421053,0.11,274.7473684210526,96,0.14583333333333334,0.14,272.71875,92,0.16304347826086957,0.15,278.7282608695652,99,0.16161616161616163,0.16,236.5252525252525,272,0.08823529411764706,0.075,255.88235294117646,1347,675,41.16779899597168
B_sa,1,61440,282,0.10638297872340426,0.1,276.1595744680851,138,0.10144927536231885,0.09333333333333334,278.8985507246377,93,0.08602150537634409,0.08,267.64516129032256,95,0.031578947368421054,0.03,269.17894736842106,96,0.08333333333333333,0.08,278.7395833333333,92,0.17391304347826086,0.16,288.4782608695652,99,0.0707070707070707,0.07,235.91919191919192,272,0.08823529411764706,0.075,281.2867647058824,1347,675,41.16779899597168
B_sa,1,81920,282,0.6773049645390071,0.6366666666666667,456.93971631205676,138,0.7101449275362319,0.6533333333333333,467.42753623188406,93,0.6666666666666666,0.62,462.494623655914,95,0.7052631578947368,0.67,461.4,96,0.6354166666666666,0.61,461.1979166666667,92,0.7282608695652174,0.67,459.42391304347825,99,0.5757575757575758,0.57,420.47474747474746,272,0.6470588235294118,0.55,450.25735294117646,1347,675,41.16779899597168
B_sa,1,102400,282,0.07446808510638298,0.07,222.3404255319149,138,0.07246376811594203,0.06666666666666667,229.17391304347825,93,0.010752688172043012,0.01,210.56989247311827,95,0.05263157894736842,0.05,232.81052631578947,96,0.010416666666666666,0.01,219.91666666666666,92,0.08695652173913043,0.08,233.52173913043478,99,0.06060606060606061,0.06,214.6969696969697,272,0.04411764705882353,0.0375,220.72794117647058,1347,675,41.16779899597168
B_sa,1,122880,282,0.36879432624113473,0.3466666666666667,377.8900709219858,138,0.32608695652173914,0.3,389.7536231884058,93,0.3548387096774194,0.33,384.03225806451616,95,0.25263157894736843,0.24,362.9263157894737,96,0.25,0.24,372.5729166666667,92,0.34782608695652173,0.32,379.89130434782606,99,0.24242424242424243,0.24,316.5151515151515,272,0.4852941176470588,0.4125,416.51838235294116,1347,675,41.16779899597168
B_sa,1,143360,282,0.09929078014184398,0.09333333333333334,260.2304964539007,138,0.07246376811594203,0.06666666666666667,255.06521739130434,93,0.021505376344086023,0.02,236.65591397849462,95,0.031578947368421054,0.03,238.93684210526317,96,0.0625,0.06,251.57291666666666,92,0.10869565217391304,0.1,260.6304347826087,99,0.050505050505050504,0.05,215.58585858585857,272,0.11397058823529412,0.096875,284.1727941176471,1347,675,41.16779899597168
B_sa,1,163840,282,0.24468085106382978,0.23,344.85460992907804,138,0.2028985507246377,0.18666666666666668,331.3333333333333,93,0.08602150537634409,0.08,306.3763440860215,95,0.14736842105263157,0.14,319.4736842105263,96,0.20833333333333334,0.2,329.1145833333333,92,0.2826086956521739,0.26,343.7391304347826,99,0.16161616161616163,0.16,293.67676767676767,272,0.20955882352941177,0.178125,344.93014705882354,1347,675,41.16779899597168
B_sa,1,184320,282,0.9184397163120568,0.8633333333333333,491.5248226950355,138,0.9492753623188406,0.8733333333333333,495.2536231884058,93,0.9354838709677419,0.87,493.1290322580645,95,0.9473684210526315,0.9,495.7894736842105,96,0.9479166666666666,0.91,494.9270833333333,92,0.9130434782608695,0.84,490.3152173913044,99,0.9292929292929293,0.92,491.44444444444446,272,0.9154411764705882,0.778125,487.6507352941176,1347,675,41.16779899597168
B_sa,1,204800,282,0.9787234042553191,0.92,494.790780141844,138,1.0,0.92,500.0,93,1.0,0.93,500.0,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.9782608695652174,0.9,491.19565217391306,99,0.9797979797979798,0.97,495.3030303030303,272,0.8860294117647058,0.753125,473.34191176470586,1347,675,41.16779899597168
A,1,0,282,0.0,0.0,35.02836879432624,138,0.0,0.0,33.14492753623188,93,0.0,0.0,33.89247311827957,95,0.0,0.0,33.54736842105263,96,0.0,0.0,48.864583333333336,92,0.0,0.0,39.02173913043478,99,0.0,0.0,28.67676767676768,272,0.025735294117647058,0.021875,46.77205882352941,1280,644,41.48882007598877
