arm,seed,run_seed,step,random/n,random/success,random/mean_steps,n_episodes,n_new,wall_time_sec
N,1003,355198357,1024000,293,0.962457337883959,146.9556313993174,7055,7055,253.46570324897766
N,1003,355198357,1064960,293,0.9453924914675768,150.08191126279863,7055,7055,253.46570324897766
N,1003,355198357,1105920,293,0.9590443686006825,145.01023890784984,7055,7055,253.46570324897766
N,1003,355198357,1146880,293,0.9488054607508533,146.54607508532422,7055,7055,253.46570324897766
N,1003,355198357,1187840,293,0.9590443686006825,146.67235494880546,7055,7055,253.46570324897766
N,1003,355198357,1228800,293,0.9590443686006825,149.19795221843003,7055,7055,253.46570324897766
N,1001,407579403,0,293,0.7235494880546075,230.38907849829351,7043,7043,254.4615249633789
N,1001,407579403,40960,293,0.9385665529010239,161.8122866894198,7043,7043,254.4615249633789
N,1001,407579403,81920,293,0.9249146757679181,164.54607508532422,7043,7043,254.4615249633789
N,1001,407579403,122880,293,0.7849829351535836,210.4232081911263,7043,7043,254.4615249633789
N,1001,407579403,163840,293,0.9112627986348123,170.03754266211604,7043,7043,254.4615249633789
N,1001,407579403,204800,293,0.8839590443686007,177.54607508532422,7043,7043,254.4615249633789
N,1001,407579403,245760,293,0.9419795221843004,157.3071672354949,7043,7043,254.4615249633789
N,1001,407579403,286720,293,0.9112627986348123,166.33788395904438,7043,7043,254.4615249633789
N,1001,407579403,327680,293,0.9453924914675768,159.37883959044368,7043,7043,254.4615249633789
N,1001,407579403,368640,293,0.9351535836177475,154.74402730375428,7043,7043,254.4615249633789
N,1001,407579403,409600,293,0.9590443686006825,150.27986348122866,7043,7043,254.4615249633789
N,1001,407579403,450560,293,0.9453924914675768,152.9556313993174,7043,7043,254.4615249633789
N,1001,407579403,491520,293,0.9453924914675768,149.12286689419795,7043,7043,254.4615249633789
N,1001,407579403,532480,293,0.931740614334471,157.90443686006827,7043,7043,254.4615249633789
N,1001,407579403,573440,293,0.9488054607508533,154.73378839590444,7043,7043,254.4615249633789
N,1001,407579403,614400,293,0.9590443686006825,148.9556313993174,7043,7043,254.4615249633789
N,1001,407579403,655360,293,0.9453924914675768,149.5836177474403,7043,7043,254.4615249633789
N,1001,407579403,696320,293,0.863481228668942,175.06484641638227,7043,7043,254.4615249633789
N,1001,407579403,737280,293,0.8327645051194539,188.66894197952217,7043,7043,254.4615249633789
N,1001,407579403,778240,293,0.8703071672354948,167.71672354948805,7043,7043,254.4615249633789
N,1001,407579403,819200,293,0.8293515358361775,182.62798634812287,7043,7043,254.4615249633789
N,1001,407579403,860160,293,0.9556313993174061,152.11262798634812,7043,7043,254.4615249633789
N,1001,407579403,901120,293,0.9590443686006825,148.39590443686006,7043,7043,254.4615249633789
N,1001,407579403,942080,293,0.9556313993174061,152.81911262798636,7043,7043,254.4615249633789
N,1001,407579403,983040,293,0.9453924914675768,158.21160409556313,7043,7043,254.4615249633789
N,1001,407579403,1024000,293,0.9556313993174061,150.46757679180888,7043,7043,254.4615249633789
N,1001,407579403,1064960,293,0.9590443686006825,150.65870307167236,7043,7043,254.4615249633789
N,1001,407579403,1105920,293,0.962457337883959,146.22866894197952,7043,7043,254.4615249633789
N,1001,407579403,1146880,293,0.9488054607508533,149.77815699658703,7043,7043,254.4615249633789
N,1001,407579403,1187840,293,0.9590443686006825,150.5529010238908,7043,7043,254.4615249633789
N,1001,407579403,1228800,293,0.9453924914675768,154.4368600682594,7043,7043,254.4615249633789
N,1002,509429501,0,293,0.25597269624573377,421.2798634812287,7053,7053,257.9516658782959
N,1002,509429501,40960,293,0.9419795221843004,159.16723549488054,7053,7053,257.9516658782959
N,1002,509429501,81920,293,0.9351535836177475,162.53924914675767,7053,7053,257.9516658782959
N,1002,509429501,122880,293,0.8054607508532423,202.32423208191128,7053,7053,257.9516658782959
N,1002,509429501,163840,293,0.9249146757679181,160.64846416382252,7053,7053,257.9516658782959
N,1002,509429501,204800,293,0.9590443686006825,153.84641638225256,7053,7053,257.9516658782959
N,1002,509429501,245760,293,0.89419795221843,169.61092150170649,7053,7053,257.9516658782959
