env,sampler,potential_fn,seed,n_episodes,train_return_mean_last20,train_return_mean_all,eval_return_mean,task_param_diversity,n_new_episodes,n_replay_episodes,final_buffer_size,wall_time_sec
cartpole,random,none,1,833,184.05,71.20288115246099,151.0,0.28841516815914414,833,0,200,5.418303966522217
cartpole,random,none,2,851,155.8,69.60164512338426,174.33333333333334,0.2874521560143613,851,0,200,4.98229193687439
cartpole,random,none,3,881,256.35,67.3700340522134,212.13333333333333,0.29031643426032755,881,0,200,4.983248949050903
cartpole,random,pvl_gae,1,844,186.35,70.20734597156398,187.86666666666667,0.2858339771491763,414,430,200,4.96819806098938
cartpole,random,pvl_gae,2,764,167.35,77.71858638743456,149.35555555555555,0.289143573919672,396,368,200,4.983848810195923
cartpole,random,pvl_gae,3,743,185.5,79.93405114401077,194.46666666666667,0.28872127291962946,382,361,200,4.9962382316589355
cartpole,random,l1_value_loss,1,858,164.1,69.06060606060606,228.55555555555554,0.2888544006567836,418,440,200,5.140444993972778
cartpole,random,l1_value_loss,2,823,177.65,72.07047387606319,203.46666666666667,0.2902576042806261,420,403,200,5.0595338344573975
cartpole,random,l1_value_loss,3,851,201.75,69.61574618096357,161.15555555555557,0.2904249269768928,436,415,200,5.0377092361450195
cartpole,random,max_mc,1,862,155.05,68.74941995359629,198.2888888888889,0.2894107900862708,419,443,200,5.003021001815796
cartpole,random,max_mc,2,784,159.25,75.68367346938776,150.9777777777778,0.28739168216720357,401,383,200,4.993513822555542
cartpole,random,max_mc,3,858,149.8,69.2132867132867,158.11111111111111,0.28854801333254254,439,419,200,4.953948259353638
cartpole,random,td_error_l2,1,874,172.0,67.75514874141876,261.97777777777776,0.2938793503600635,425,449,200,4.985908031463623
cartpole,random,td_error_l2,2,830,122.8,71.49277108433735,186.44444444444446,0.2944931051135763,424,406,200,4.963105916976929
cartpole,random,td_error_l2,3,1007,118.3,58.89771598808342,164.95555555555555,0.29256051569078567,513,494,200,4.997797012329102
cartpole,random,alp,1,859,205.0,68.88474970896391,245.13333333333333,0.29065008761917976,418,441,200,4.994614124298096
cartpole,random,alp,2,860,183.5,68.78720930232558,241.44444444444446,0.2880770683711872,438,422,200,4.99836802482605
cartpole,random,alp,3,882,145.5,67.21428571428571,181.17777777777778,0.2854259616867215,455,427,200,5.009276866912842
cartpole,random,intermediate_difficulty,1,837,241.95,70.48745519713262,220.55555555555554,0.2915998911903401,411,426,200,4.976529836654663
cartpole,random,intermediate_difficulty,2,902,189.75,65.57871396895787,162.8,0.2879561802384457,463,439,200,4.984285116195679
cartpole,random,intermediate_difficulty,3,923,173.15,64.24485373781148,171.84444444444443,0.2937034879213339,473,450,200,4.971991062164307
cartpole,halton,none,1,851,206.45,69.32432432432432,189.64444444444445,0.2884127585953683,851,0,200,4.97533106803894
cartpole,halton,none,2,841,177.1,70.59571938168847,193.55555555555554,0.2883348161890214,841,0,200,4.9978578090667725
cartpole,halton,none,3,878,160.5,67.59567198177676,189.37777777777777,0.2881868866214299,878,0,200,5.020204067230225
cartpole,halton,pvl_gae,1,863,189.55,68.65816917728853,147.93333333333334,0.28264566819959275,419,444,200,4.979015827178955
cartpole,halton,pvl_gae,2,830,220.85,71.29638554216868,210.86666666666667,0.2849217879904339,424,406,200,5.003719329833984
cartpole,halton,pvl_gae,3,784,187.25,75.75255102040816,184.62222222222223,0.2880557353842558,407,377,200,4.990119934082031
cartpole,halton,l1_value_loss,1,831,302.3,71.45728038507822,346.73333333333335,0.2868093987414874,408,423,200,5.00658106803894
cartpole,halton,l1_value_loss,2,834,129.25,71.05875299760191,169.22222222222223,0.28886072466783597,424,410,200,5.010318994522095
cartpole,halton,l1_value_loss,3,791,186.9,74.8141592920354,233.51111111111112,0.2888059146758817,410,381,200,5.026154041290283
cartpole,halton,max_mc,1,834,320.35,71.1990407673861,264.64444444444445,0.2846699851653459,410,424,200,5.000664949417114
cartpole,halton,max_mc,2,848,167.35,69.77830188679245,174.06666666666666,0.2876195065549921,429,419,200,4.96924901008606
cartpole,halton,max_mc,3,851,160.4,69.68507638072856,165.33333333333334,0.28391688819596206,436,415,200,4.960392951965332
cartpole,halton,td_error_l2,1,924,224.65,64.03246753246754,217.06666666666666,0.2910119607266407,453,471,200,5.012754917144775
cartpole,halton,td_error_l2,2,889,168.3,66.68391451068617,156.53333333333333,0.2912709270406505,455,434,200,5.017016649246216
cartpole,halton,td_error_l2,3,957,199.3,61.863113897596655,300.4222222222222,0.29149019010738764,488,469,200,4.995859384536743
cartpole,halton,alp,1,834,223.9,71.11870503597122,165.13333333333333,0.29274913803583014,410,424,200,4.982919931411743
cartpole,halton,alp,2,894,182.95,66.2192393736018,164.17777777777778,0.2835164998449841,459,435,200,5.009181022644043
cartpole,halton,alp,3,830,201.2,71.32289156626506,223.17777777777778,0.2860621626339289,429,401,200,4.989635944366455
cartpole,halton,intermediate_difficulty,1,841,167.5,70.41736028537456,181.64444444444445,0.28961664662456565,414,427,200,4.971796274185181
cartpole,halton,intermediate_difficulty,2,860,168.15,68.61511627906977,175.44444444444446,0.286675531971619,438,422,200,4.9876868724823
cartpole,halton,intermediate_difficulty,3,834,265.35,70.86330935251799,308.8888888888889,0.2875611064149499,432,402,200,4.972570896148682
cartpole,ce,none,1,789,178.15,75.1381495564005,174.17777777777778,0.13061663551384736,789,0,200,5.025449991226196
cartpole,ce,none,2,788,157.0,75.24619289340102,161.75555555555556,0.13489362587153203,788,0,200,5.010542154312134
cartpole,ce,none,3,819,227.85,72.3040293040293,244.44444444444446,0.131106875328558,819,0,200,5.015244960784912
cartpole,ce,pvl_gae,1,766,224.6,77.43211488250653,117.86666666666666,0.1529337084668589,376,390,200,4.991219997406006
cartpole,ce,pvl_gae,2,654,284.8,90.27217125382263,251.04444444444445,0.17006260482101782,336,318,200,4.979475975036621
cartpole,ce,pvl_gae,3,981,109.55,60.53414882772681,109.0,0.20655893908556902,501,480,200,5.028374910354614
cartpole,ce,l1_value_loss,1,821,207.75,72.32886723507917,192.0,0.15499396264035042,403,418,200,4.991737127304077
cartpole,ce,l1_value_loss,2,802,187.5,74.01870324189527,173.53333333333333,0.19821217743044248,407,395,200,4.990839004516602
cartpole,ce,l1_value_loss,3,1105,178.05,53.560180995475115,246.93333333333334,0.21178226252995866,558,547,200,5.041684150695801
cartpole,ce,max_mc,1,743,174.7,79.74562584118439,133.22222222222223,0.18513163716319914,361,382,200,5.004317998886108
cartpole,ce,max_mc,2,758,193.95,78.23614775725594,207.7111111111111,0.1651563216322244,395,363,200,5.001159906387329
cartpole,ce,max_mc,3,831,165.8,71.39831528279181,140.55555555555554,0.15628857240119357,430,401,200,5.0000529289245605
cartpole,ce,td_error_l2,1,680,348.0,86.94558823529412,200.95555555555555,0.1621001216324311,335,345,200,4.961612939834595
cartpole,ce,td_error_l2,2,734,153.85,80.84468664850137,153.84444444444443,0.2671575257787334,381,353,200,4.987237215042114
cartpole,ce,td_error_l2,3,914,267.1,64.84245076586433,234.88888888888889,0.1444427467606072,470,444,200,5.010474920272827
cartpole,ce,alp,1,837,200.05,70.91039426523298,202.82222222222222,0.2907862089328025,411,426,200,4.98943018913269
cartpole,ce,alp,2,830,190.5,71.53734939759036,183.73333333333332,0.29687984512737725,424,406,200,4.981374025344849
cartpole,ce,alp,3,844,184.45,70.16706161137441,184.35555555555555,0.2927228849336544,434,410,200,5.00304388999939
cartpole,ce,intermediate_difficulty,1,843,200.95,70.15183867141162,203.62222222222223,0.28837892789533476,414,429,200,4.98008918762207
cartpole,ce,intermediate_difficulty,2,873,220.8,67.87972508591065,258.7111111111111,0.28953281653842994,445,428,200,4.972742795944214
cartpole,ce,intermediate_difficulty,3,835,261.05,71.12215568862275,239.3111111111111,0.29253591439595894,432,403,200,4.96721887588501
cartpole,mab,none,1,806,186.4,73.58933002481389,281.0444444444444,0.22003579099481624,806,0,200,5.054757118225098
cartpole,mab,none,2,771,196.15,76.71076523994812,177.7111111111111,0.2387346211952412,771,0,200,5.032365083694458
cartpole,mab,none,3,830,170.65,71.40120481927711,223.62222222222223,0.21738292081841276,830,0,200,5.038442134857178
cartpole,mab,pvl_gae,1,713,231.85,83.0070126227209,189.35555555555555,0.30125406066755367,347,366,200,5.016784191131592
cartpole,mab,pvl_gae,2,667,224.65,88.79010494752623,242.11111111111111,0.28907180311055614,343,324,200,4.998318910598755
cartpole,mab,pvl_gae,3,763,279.15,77.76408912188728,217.13333333333333,0.23713309089345228,393,370,200,5.026235818862915
cartpole,mab,l1_value_loss,1,730,221.2,80.9013698630137,219.7111111111111,0.2487739560422076,354,376,200,5.0318427085876465
cartpole,mab,l1_value_loss,2,757,193.2,78.22721268163805,147.26666666666668,0.26598052050062965,394,363,200,5.013201951980591
cartpole,mab,l1_value_loss,3,758,218.0,78.09630606860158,183.13333333333333,0.23337400893654897,392,366,200,5.006874084472656
cartpole,mab,max_mc,1,762,164.4,77.84251968503936,167.44444444444446,0.2523972416153794,374,388,200,5.007689952850342
cartpole,mab,max_mc,2,779,258.3,76.07317073170732,211.0888888888889,0.24126230047037858,401,378,200,4.994103908538818
cartpole,mab,max_mc,3,753,257.6,78.85657370517929,296.7111111111111,0.26752856500940947,389,364,200,4.985692977905273
cartpole,mab,td_error_l2,1,971,129.0,61.145211122554066,190.3111111111111,0.28295858385618156,475,496,200,5.056402921676636
cartpole,mab,td_error_l2,2,688,212.65,86.06104651162791,165.33333333333334,0.2401829043956559,357,331,200,4.975412845611572
cartpole,mab,td_error_l2,3,922,175.25,64.26681127982647,170.57777777777778,0.31616987719141837,473,449,200,5.011018991470337
cartpole,mab,alp,1,876,224.95,67.73287671232876,222.0222222222222,0.2868839623604623,426,450,200,5.017198085784912
cartpole,mab,alp,2,875,202.9,67.78971428571428,189.53333333333333,0.28792475459455424,447,428,200,4.9959118366241455
cartpole,mab,alp,3,821,242.0,72.22168087697929,316.7111111111111,0.2854085889758596,422,399,200,4.987655878067017
cartpole,mab,intermediate_difficulty,1,869,187.85,67.91944764096662,350.84444444444443,0.2878516949527588,423,446,200,4.9725542068481445
cartpole,mab,intermediate_difficulty,2,846,144.25,70.02600472813239,174.8,0.28838187299265605,428,418,200,4.9933178424835205
cartpole,mab,intermediate_difficulty,3,886,141.95,66.93566591422122,129.77777777777777,0.28942983420378693,457,429,200,5.024012088775635
cartpole,bo,none,1,634,204.65,93.4794952681388,176.37777777777777,0.08450948787202445,634,0,200,288.04029273986816
cartpole,bo,none,2,1081,154.8,54.913968547641076,146.86666666666667,0.08381546527698393,1081,0,200,1955.2128059864044
cartpole,bo,none,3,771,172.0,76.95071335927366,169.6888888888889,0.16595895280170778,771,0,200,596.5424060821533
cartpole,bo,pvl_gae,1,897,78.15,66.17614269788183,50.68888888888889,0.13502939993343102,438,459,200,119.5318660736084
cartpole,bo,pvl_gae,2,847,190.8,69.86776859504133,207.06666666666666,0.209242907552819,428,419,200,112.19966697692871
cartpole,bo,pvl_gae,3,658,233.75,89.97872340425532,173.11111111111111,0.2092313577841038,339,319,200,68.04990410804749
cartpole,bo,l1_value_loss,1,721,194.3,82.31761442441054,123.0,0.14687646306502022,349,372,200,66.47450017929077
cartpole,bo,l1_value_loss,2,785,96.9,75.48025477707006,142.37777777777777,0.29754747218501854,401,384,200,106.7766580581665
cartpole,bo,l1_value_loss,3,844,176.85,70.24170616113744,165.42222222222222,0.2907338478254229,434,410,200,113.23122906684875
cartpole,bo,max_mc,1,621,247.45,95.25764895330113,158.88888888888889,0.19398987592872471,304,317,200,45.29590106010437
cartpole,bo,max_mc,2,645,345.65,92.07286821705426,244.57777777777778,0.13975016227577522,330,315,200,65.62207984924316
cartpole,bo,max_mc,3,753,198.35,78.74634794156707,181.48888888888888,0.23638563753631087,389,364,200,89.74596214294434
cartpole,bo,td_error_l2,1,753,178.75,78.77822045152722,161.7111111111111,0.30492477890734093,368,385,200,77.00147104263306
