arm,seed,run_seed,learning_rate,step,E0/n,E0/success,E0/mean_steps,E1/n,E1/success,E1/mean_steps,E1b/n,E1b/success,E1b/mean_steps,E2/n,E2/success,E2/mean_steps,E3a/n,E3a/success,E3a/mean_steps,E3b/n,E3b/success,E3b/mean_steps,E4/n,E4/success,E4/mean_steps,E5/n,E5/success,E5/mean_steps,n_episodes,n_new,wall_time_sec
REF,3,1455100860,0.0003,0,282,0.0,12.953900709219859,138,0.0,16.1231884057971,93,0.0,18.731182795698924,95,0.0,16.294736842105262,96,0.0,15.739583333333334,92,0.0,13.26086956521739,99,0.0,11.93939393939394,272,0.0,13.246323529411764,2669,2669,101.6229157447815
REF,3,1455100860,0.0003,20480,282,0.02127659574468085,180.90425531914894,138,0.007246376811594203,174.32608695652175,93,0.0,176.8494623655914,95,0.0,169.41052631578947,96,0.03125,187.35416666666666,92,0.021739130434782608,182.82608695652175,99,0.030303030303030304,157.53535353535352,272,0.05514705882352941,174.81985294117646,2669,2669,101.6229157447815
REF,3,1455100860,0.0003,40960,282,0.21631205673758866,317.36170212765956,138,0.16666666666666666,317.963768115942,93,0.15053763440860216,309.4301075268817,95,0.14736842105263157,299.0105263157895,96,0.17708333333333334,310.4166666666667,92,0.1956521739130435,310.5,99,0.08080808080808081,249.96969696969697,272,0.1948529411764706,332.48161764705884,2669,2669,101.6229157447815
REF,3,1455100860,0.0003,61440,282,0.18085106382978725,303.2836879432624,138,0.12318840579710146,303.3623188405797,93,0.08602150537634409,294.7741935483871,95,0.09473684210526316,283.2105263157895,96,0.13541666666666666,294.75,92,0.15217391304347827,299.2826086956522,99,0.06060606060606061,251.46464646464648,272,0.16176470588235295,320.0772058823529,2669,2669,101.6229157447815
REF,3,1455100860,0.0003,81920,282,0.05319148936170213,225.97163120567376,138,0.028985507246376812,216.3768115942029,93,0.010752688172043012,217.53763440860214,95,0.042105263157894736,210.83157894736843,96,0.03125,226.41666666666666,92,0.09782608695652174,231.40217391304347,99,0.030303030303030304,190.92929292929293,272,0.04779411764705882,246.54044117647058,2669,2669,101.6229157447815
REF,3,1455100860,0.0003,102400,282,0.8191489361702128,479.9432624113475,138,0.8985507246376812,489.55797101449275,93,0.8709677419354839,486.8709677419355,95,0.8842105263157894,492.4736842105263,96,0.9375,494.21875,92,0.8478260869565217,477.80434782608694,99,0.7575757575757576,458.42424242424244,272,0.8088235294117647,469.2867647058824,2669,2669,101.6229157447815
REF,3,1455100860,0.0003,122880,282,0.2801418439716312,337.3900709219858,138,0.2608695652173913,346.768115942029,93,0.1935483870967742,334.7204301075269,95,0.3684210526315789,360.0421052631579,96,0.3125,351.7291666666667,92,0.42391304347826086,360.0652173913044,99,0.30303030303030304,304.6666666666667,272,0.2536764705882353,346.7242647058824,2669,2669,101.6229157447815
REF,3,1455100860,0.0003,143360,282,0.39361702127659576,371.2588652482269,138,0.3115942028985507,377.3478260869565,93,0.25806451612903225,368.9462365591398,95,0.3894736842105263,381.41052631578947,96,0.3333333333333333,371.6041666666667,92,0.42391304347826086,382.1304347826087,99,0.3939393939393939,344.37373737373736,272,0.2977941176470588,381.4264705882353,2669,2669,101.6229157447815
REF,3,1455100860,0.0003,163840,282,0.5851063829787234,420.49645390070924,138,0.463768115942029,409.7536231884058,93,0.43010752688172044,403.5698924731183,95,0.5578947368421052,398.8421052631579,96,0.5625,423.53125,92,0.5869565217391305,413.4891304347826,99,0.5050505050505051,380.42424242424244,272,0.41911764705882354,417.2022058823529,2669,2669,101.6229157447815
REF,3,1455100860,0.0003,184320,282,0.2127659574468085,319.2340425531915,138,0.13043478260869565,280.10869565217394,93,0.08602150537634409,268.2043010752688,95,0.1368421052631579,282.05263157894734,96,0.20833333333333334,310.3854166666667,92,0.22826086956521738,314.5652173913044,99,0.2222222222222222,296.1111111111111,272,0.21691176470588236,300.64338235294116,2669,2669,101.6229157447815
