arm,seed,run_seed,learning_rate,step,E0/n,E0/success,E0/mean_steps,E1/n,E1/success,E1/mean_steps,E1b/n,E1b/success,E1b/mean_steps,E2/n,E2/success,E2/mean_steps,E3a/n,E3a/success,E3a/mean_steps,E3b/n,E3b/success,E3b/mean_steps,E4/n,E4/success,E4/mean_steps,E5/n,E5/success,E5/mean_steps,E6/n,E6/success,E6/mean_steps,E7/n,E7/success,E7/mean_steps,n_episodes,n_new,wall_time_sec
B_mab,1,4289564374,0.0003,0,282,0.0,12.23049645390071,138,0.0,15.202898550724637,93,0.0,17.13978494623656,95,0.0,14.48421052631579,96,0.0,15.354166666666666,92,0.0,13.01086956521739,99,0.0,11.05050505050505,272,0.0,12.485294117647058,248,0.0,8.03225806451613,100,0.0,11.58,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,20480,282,0.024822695035460994,133.81205673758865,138,0.0,135.6231884057971,93,0.021505376344086023,137.9247311827957,95,0.021052631578947368,131.07368421052632,96,0.020833333333333332,143.90625,92,0.021739130434782608,136.16304347826087,99,0.010101010101010102,106.28282828282828,272,0.0625,151.90073529411765,248,0.0,63.08870967741935,100,0.06,142.26,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,40960,282,0.16666666666666666,297.031914893617,138,0.12318840579710146,292.6014492753623,93,0.10752688172043011,287.7204301075269,95,0.11578947368421053,275.41052631578947,96,0.125,290.8229166666667,92,0.14130434782608695,293.05434782608694,99,0.0707070707070707,236.5151515151515,272,0.16911764705882354,321.21691176470586,248,0.0,120.86693548387096,100,0.2,306.76,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,61440,282,0.33687943262411346,371.2411347517731,138,0.3333333333333333,379.231884057971,93,0.2903225806451613,371.63440860215053,95,0.24210526315789474,356.42105263157896,96,0.3229166666666667,379.3333333333333,92,0.31521739130434784,372.17391304347825,99,0.1919191919191919,309.4949494949495,272,0.3897058823529412,385.5220588235294,248,0.008064516129032258,154.6209677419355,100,0.38,380.79,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,81920,282,0.024822695035460994,209.97163120567376,138,0.007246376811594203,200.2246376811594,93,0.010752688172043012,199.4731182795699,95,0.042105263157894736,201.16842105263157,96,0.010416666666666666,221.40625,92,0.03260869565217391,206.70652173913044,99,0.010101010101010102,191.44444444444446,272,0.003676470588235294,187.4889705882353,248,0.0,123.35483870967742,100,0.03,212.4,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,102400,282,0.03900709219858156,229.06382978723406,138,0.036231884057971016,224.90579710144928,93,0.03225806451612903,219.66666666666666,95,0.010526315789473684,209.65263157894736,96,0.020833333333333332,219.71875,92,0.06521739130434782,219.5108695652174,99,0.030303030303030304,186.0909090909091,272,0.03676470588235294,243.6066176470588,248,0.0,109.72983870967742,100,0.08,241.05,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,122880,282,0.1524822695035461,289.08156028368796,138,0.10144927536231885,289.0507246376812,93,0.08602150537634409,281.35483870967744,95,0.06315789473684211,272.53684210526313,96,0.09375,281.65625,92,0.10869565217391304,284.5326086956522,99,0.06060606060606061,238.95959595959596,272,0.14705882352941177,305.5882352941176,248,0.004032258064516129,128.70564516129033,100,0.16,295.57,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,143360,282,0.8368794326241135,483.15248226950354,138,0.8985507246376812,493.268115942029,93,0.8602150537634409,481.59139784946234,95,0.9052631578947369,489.7894736842105,96,0.8541666666666666,490.625,92,0.8478260869565217,483.70652173913044,99,0.696969696969697,459.4141414141414,272,0.7867647058823529,458.31617647058823,248,0.07661290322580645,166.8548387096774,100,0.91,491.21,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,163840,282,0.40425531914893614,385.9574468085106,138,0.32608695652173914,383.5507246376812,93,0.34408602150537637,373.2903225806452,95,0.3263157894736842,363.85263157894735,96,0.3229166666666667,378.4583333333333,92,0.391304347826087,383.2717391304348,99,0.25252525252525254,321.93939393939394,272,0.375,393.8860294117647,248,0.008064516129032258,147.4233870967742,100,0.47,395.1,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,184320,282,0.0425531914893617,196.18085106382978,138,0.021739130434782608,194.96376811594203,93,0.010752688172043012,189.53763440860214,95,0.06315789473684211,208.96842105263158,96,0.052083333333333336,205.17708333333334,92,0.06521739130434782,212.7826086956522,99,0.050505050505050504,187.4949494949495,272,0.011029411764705883,194.80882352941177,248,0.0,105.25,100,0.07,200.35,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,204800,282,0.4645390070921986,420.65248226950354,138,0.4927536231884058,429.3840579710145,93,0.44086021505376344,420.3225806451613,95,0.5473684210526316,431.58947368421053,96,0.46875,419.34375,92,0.5760869565217391,430.60869565217394,99,0.42424242424242425,394.75757575757575,272,0.47794117647058826,427.03308823529414,248,0.09274193548387097,243.8709677419355,100,0.53,431.03,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,225280,282,0.49645390070921985,414.0354609929078,138,0.5362318840579711,430.4492753623188,93,0.4946236559139785,415.6666666666667,95,0.49473684210526314,420.05263157894734,96,0.4895833333333333,414.9895833333333,92,0.5434782608695652,419.9130434782609,99,0.42424242424242425,370.19191919191917,272,0.5955882352941176,433.0992647058824,248,0.04032258064516129,176.28225806451613,100,0.61,433.23,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,245760,282,0.35815602836879434,372.41843971631204,138,0.36231884057971014,384.7826086956522,93,0.27956989247311825,368.5483870967742,95,0.37894736842105264,377.7578947368421,96,0.3645833333333333,370.625,92,0.3804347826086957,380.7391304347826,99,0.2727272727272727,331.45454545454544,272,0.3713235294117647,395.71691176470586,248,0.03225806451612903,158.7741935483871,100,0.36,383.17,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,266240,282,0.6985815602836879,456.3758865248227,138,0.7391304347826086,468.7391304347826,93,0.7204301075268817,456.51612903225805,95,0.7473684210526316,466.9789473684211,96,0.65625,452.28125,92,0.717391304347826,461.9347826086956,99,0.5858585858585859,419.82828282828285,272,0.7647058823529411,459.8897058823529,248,0.05241935483870968,210.45967741935485,100,0.7,461.96,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,286720,282,0.5886524822695035,435.58156028368796,138,0.6666666666666666,453.731884057971,93,0.6344086021505376,443.31182795698925,95,0.6631578947368421,450.18947368421055,96,0.5729166666666666,432.7916666666667,92,0.6630434782608695,444.4021739130435,99,0.5252525252525253,401.72727272727275,272,0.6875,450.6654411764706,248,0.04838709677419355,192.9798387096774,100,0.66,447.58,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,307200,282,0.8546099290780141,477.1276595744681,138,0.9130434782608695,489.7391304347826,93,0.8602150537634409,480.5698924731183,95,0.9263157894736842,487.9894736842105,96,0.8958333333333334,485.1145833333333,92,0.9021739130434783,483.7173913043478,99,0.7171717171717171,454.0,272,0.8529411764705882,476.1875,248,0.06048387096774194,204.6209677419355,100,0.92,490.45,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,327680,282,0.9964539007092199,499.95390070921985,138,1.0,500.0,93,0.989247311827957,495.5376344086022,95,1.0,500.0,96,1.0,500.0,92,1.0,500.0,99,1.0,500.0,272,0.9742647058823529,491.9375,248,0.75,405.14516129032256,100,1.0,500.0,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,348160,282,0.9893617021276596,495.2836879432624,138,0.9927536231884058,497.32608695652175,93,0.9247311827956989,469.01075268817203,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,495.2173913043478,99,0.9797979797979798,490.8888888888889,272,0.9669117647058824,487.1397058823529,248,0.0967741935483871,110.68951612903226,100,1.0,500.0,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,368640,282,0.975177304964539,496.99645390070924,138,0.9927536231884058,499.8623188405797,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,0.9782608695652174,494.3695652173913,99,0.9696969696969697,498.4040404040404,272,0.9742647058823529,494.8529411764706,248,0.8266129032258065,445.2741935483871,100,0.98,497.08,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,389120,282,0.9929078014184397,497.822695035461,138,1.0,500.0,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,1.0,500.0,99,1.0,500.0,272,0.9816176470588235,494.5110294117647,248,0.5846774193548387,336.91129032258067,100,1.0,500.0,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,409600,282,0.950354609929078,494.4326241134752,138,0.9637681159420289,497.57246376811594,93,1.0,500.0,95,0.9789473684210527,497.37894736842105,96,0.9791666666666666,499.375,92,0.967391304347826,493.32608695652175,99,0.9393939393939394,495.85858585858585,272,0.9227941176470589,491.62867647058823,248,0.8225806451612904,441.83870967741933,100,0.94,495.33,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,430080,282,0.9893617021276596,496.28014184397165,138,1.0,500.0,93,0.989247311827957,495.3333333333333,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,499.0978260869565,99,1.0,500.0,272,0.9705882352941176,491.5147058823529,248,0.4032258064516129,258.5,100,1.0,500.0,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,450560,282,0.9609929078014184,494.37943262411346,138,0.9927536231884058,499.84057971014494,93,1.0,500.0,95,0.9894736842105263,499.90526315789475,96,1.0,500.0,92,0.9565217391304348,494.6304347826087,99,0.9797979797979798,498.6868686868687,272,0.9375,489.4522058823529,248,0.625,362.83870967741933,100,0.99,499.17,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,471040,282,0.9716312056737588,494.21985815602835,138,0.9855072463768116,497.89130434782606,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,0.9565217391304348,492.95652173913044,99,0.9797979797979798,497.93939393939394,272,0.9375,488.4522058823529,248,0.7096774193548387,399.9758064516129,100,0.98,498.42,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,491520,282,0.9609929078014184,491.3014184397163,138,0.9782608695652174,498.6231884057971,93,0.967741935483871,487.26881720430106,95,0.9894736842105263,499.87368421052633,96,1.0,500.0,92,0.9347826086956522,490.9673913043478,99,0.9494949494949495,498.85858585858585,272,0.9375,485.8529411764706,248,0.31451612903225806,245.8508064516129,100,0.98,497.87,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,512000,282,0.41134751773049644,386.968085106383,138,0.36231884057971014,397.27536231884056,93,0.3010752688172043,377.0967741935484,95,0.43157894736842106,396.9894736842105,96,0.3645833333333333,376.5833333333333,92,0.43478260869565216,397.0217391304348,99,0.3333333333333333,352.3636363636364,272,0.4411764705882353,409.8235294117647,248,0.008064516129032258,151.33870967741936,100,0.45,392.19,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,532480,282,0.9822695035460993,496.59574468085106,138,1.0,500.0,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,0.9782608695652174,494.44565217391306,99,1.0,500.0,272,0.9595588235294118,494.6764705882353,248,0.8185483870967742,447.8467741935484,100,0.99,499.49,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,552960,282,0.9468085106382979,475.6241134751773,138,0.9347826086956522,471.9927536231884,93,0.8387096774193549,428.93548387096774,95,0.9368421052631579,471.94736842105266,96,0.8958333333333334,453.1354166666667,92,0.967391304347826,485.57608695652175,99,0.9292929292929293,467.7070707070707,272,0.8382352941176471,432.8014705882353,248,0.11693548387096774,109.6774193548387,100,0.97,486.96,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,573440,282,0.9964539007092199,498.3900709219858,138,0.9927536231884058,496.7608695652174,93,0.946236559139785,476.38709677419354,95,0.9894736842105263,495.2526315789474,96,0.9895833333333334,495.15625,92,0.9891304347826086,495.1630434782609,99,0.9696969696969697,486.1111111111111,272,0.9595588235294118,484.12867647058823,248,0.3467741935483871,224.04435483870967,100,1.0,500.0,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,593920,282,0.9893617021276596,495.28014184397165,138,1.0,500.0,93,0.9247311827956989,467.1720430107527,95,1.0,500.0,96,0.9895833333333334,495.1770833333333,92,0.9891304347826086,495.1630434782609,99,0.9494949494949495,480.010101010101,272,0.9632352941176471,485.90441176470586,248,0.11693548387096774,110.75806451612904,100,1.0,500.0,2484,1271,106.82943296432495
B_mab,1,4289564374,0.0003,614400,282,0.9929078014184397,497.42198581560285,138,1.0,500.0,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,1.0,500.0,99,1.0,500.0,272,0.9816176470588235,496.94117647058823,248,0.8548387096774194,463.7096774193548,100,1.0,500.0,2484,1271,106.82943296432495
S_ce,1,3831076762,0.0003,0,282,0.0,76.41489361702128,138,0.0,74.20289855072464,93,0.0,81.83870967741936,95,0.0,72.45263157894736,96,0.0,89.13541666666667,92,0.010869565217391304,82.48913043478261,99,0.0,56.18181818181818,272,0.04044117647058824,107.34191176470588,248,0.0,24.943548387096776,100,0.01,87.01,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,20480,282,0.0,78.1063829787234,138,0.0,73.45652173913044,93,0.0,75.80645161290323,95,0.0,69.47368421052632,96,0.0,86.98958333333333,92,0.0,79.40217391304348,99,0.0,66.96969696969697,272,0.0,77.65073529411765,248,0.0,27.294354838709676,100,0.0,77.91,2241,2241,107.20392179489136
S_ce,1,3831076762,0.0003,40960,282,0.05673758865248227,230.92198581560282,138,0.028985507246376812,213.18115942028984,93,0.0,215.1290322580645,95,0.07368421052631578,217.53684210526316,96,0.07291666666666667,230.3125,92,0.08695652173913043,238.68478260869566,99,0.030303030303030304,192.82828282828282,272,0.08088235294117647,251.82720588235293,248,0.0,97.10887096774194,100,0.12,244.08,2241,2241,107.20392179489136
