arm,seed,step,E0/n,E0/success,E0/mean_steps,E1v/n,E1v/success,E1v/mean_steps,E2v/n,E2v/success,E2v/mean_steps,E3v/n,E3v/success,E3v/mean_steps,E4v/n,E4v/success,E4v/mean_steps,E6/n,E6/success,E6/mean_steps,E7/n,E7/success,E7/mean_steps
A,11,61440,282,0.1276595744680851,285.09574468085106,100,0.0,123.11,100,0.0,119.27,100,0.0,111.05,50,0.0,98.32,250,0.0,117.488,100,0.06,261.95
A,11,122880,282,0.07446808510638298,296.4929078014184,100,0.0,84.78,100,0.0,89.85,100,0.0,88.55,50,0.0,88.04,250,0.0,91.288,100,0.11,309.34
A,11,184320,282,0.14184397163120568,288.0070921985816,100,0.0,121.68,100,0.0,118.84,100,0.0,111.86,50,0.0,101.54,250,0.0,117.408,100,0.03,271.38
A,11,245760,282,0.24113475177304963,379.57092198581563,100,0.08,161.31,100,0.03,143.17,100,0.03,128.87,50,0.0,116.44,250,0.044,143.824,100,0.31,395.21
A,11,307200,282,0.5602836879432624,438.28014184397165,100,0.32,271.59,100,0.34,299.82,100,0.27,260.39,50,0.14,206.38,250,0.308,274.756,100,0.61,449.9
A,11,368640,282,0.6985815602836879,443.32978723404256,100,0.36,264.25,100,0.32,239.71,100,0.22,193.11,50,0.16,154.58,250,0.292,226.788,100,0.68,447.09
A,11,430080,282,0.9929078014184397,496.93617021276594,100,0.17,144.67,100,0.27,190.44,100,0.18,143.13,50,0.44,256.36,250,0.192,152.852,100,1.0,500.0
A,11,491520,282,0.9893617021276596,498.0354609929078,100,0.9,459.57,100,0.96,483.59,100,0.9,458.52,50,0.84,433.34,250,0.952,480.512,100,1.0,500.0
A,11,552960,282,0.9929078014184397,497.8262411347518,100,0.26,178.69,100,0.29,189.92,100,0.35,214.68,50,0.4,236.96,250,0.292,192.112,100,1.0,500.0
A,11,614400,282,0.6276595744680851,440.81205673758865,100,0.04,203.16,100,0.01,185.44,100,0.0,166.7,50,0.0,131.66,250,0.024,186.788,100,0.6,438.91
A,12,61440,282,0.4787234042553192,433.8723404255319,100,0.01,116.55,100,0.07,171.27,100,0.06,125.82,50,0.04,116.42,250,0.024,127.684,100,0.45,420.78
