arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,2,0.0001,0,282,0.02127659574468085,0.02,186.11702127659575,138,0.021739130434782608,0.02,188.3840579710145,93,0.03225806451612903,0.03,189.53763440860214,95,0.0,0.0,161.0842105263158,96,0.0,0.0,29.322916666666668,92,0.010869565217391304,0.01,177.1413043478261,99,0.020202020202020204,0.02,127.86868686868686,272,0.007352941176470588,0.00625,135.37867647058823,3565,3565,84.23760390281677
N,2,0.0001,20480,282,0.014184397163120567,0.013333333333333334,67.17021276595744,138,0.0,0.0,59.84782608695652,93,0.0,0.0,67.75268817204301,95,0.010526315789473684,0.01,60.43157894736842,96,0.041666666666666664,0.04,84.42708333333333,92,0.03260869565217391,0.03,79.45652173913044,99,0.0,0.0,47.90909090909091,272,0.04044117647058824,0.034375,99.80882352941177,3565,3565,84.23760390281677
N,2,0.0001,40960,282,0.01773049645390071,0.016666666666666666,93.54609929078015,138,0.014492753623188406,0.013333333333333334,94.4927536231884,93,0.0,0.0,92.16129032258064,95,0.021052631578947368,0.02,90.78947368421052,96,0.041666666666666664,0.04,110.51041666666667,92,0.010869565217391304,0.01,97.05434782608695,99,0.010101010101010102,0.01,74.92929292929293,272,0.051470588235294115,0.04375,117.48897058823529,3565,3565,84.23760390281677
N,2,0.0001,61440,282,0.19858156028368795,0.18666666666666668,275.822695035461,138,0.16666666666666666,0.15333333333333332,268.4710144927536,93,0.15053763440860216,0.14,283.741935483871,95,0.10526315789473684,0.1,244.66315789473686,96,0.3333333333333333,0.32,305.3020833333333,92,0.20652173913043478,0.19,267.3152173913044,99,0.13131313131313133,0.13,210.21212121212122,272,0.15441176470588236,0.13125,257.5882352941176,3565,3565,84.23760390281677
N,2,0.0001,81920,282,0.09219858156028368,0.08666666666666667,225.25886524822695,138,0.028985507246376812,0.02666666666666667,217.95652173913044,93,0.03225806451612903,0.03,214.6236559139785,95,0.021052631578947368,0.02,207.25263157894736,96,0.08333333333333333,0.08,229.71875,92,0.06521739130434782,0.06,221.7826086956522,99,0.030303030303030304,0.03,172.55555555555554,272,0.08455882352941177,0.071875,239.6066176470588,3565,3565,84.23760390281677
N,2,0.0001,102400,282,0.09574468085106383,0.09,258.81205673758865,138,0.043478260869565216,0.04,260.71014492753625,93,0.021505376344086023,0.02,254.247311827957,95,0.06315789473684211,0.06,244.76842105263157,96,0.0625,0.06,261.1875,92,0.13043478260869565,0.12,264.44565217391306,99,0.0707070707070707,0.07,212.2828282828283,272,0.11397058823529412,0.096875,269.43014705882354,3565,3565,84.23760390281677
N,2,0.0001,122880,282,0.1524822695035461,0.14333333333333334,315.06028368794324,138,0.14492753623188406,0.13333333333333333,307.5072463768116,93,0.13978494623655913,0.13,307.59139784946234,95,0.1368421052631579,0.13,301.5684210526316,96,0.17708333333333334,0.17,315.7395833333333,92,0.15217391304347827,0.14,312.8695652173913,99,0.13131313131313133,0.13,266.73737373737373,272,0.15808823529411764,0.134375,317.87867647058823,3565,3565,84.23760390281677
N,2,0.0001,143360,282,0.32978723404255317,0.31,355.87943262411346,138,0.21739130434782608,0.2,343.3985507246377,93,0.21505376344086022,0.2,345.8494623655914,95,0.2631578947368421,0.25,338.0210526315789,96,0.2708333333333333,0.26,353.1041666666667,92,0.30434782608695654,0.28,348.0108695652174,99,0.20202020202020202,0.2,295.3939393939394,272,0.22426470588235295,0.190625,353.75367647058823,3565,3565,84.23760390281677
N,2,0.0001,163840,282,0.0673758865248227,0.06333333333333334,245.38297872340425,138,0.036231884057971016,0.03333333333333333,231.03623188405797,93,0.010752688172043012,0.01,233.32258064516128,95,0.08421052631578947,0.08,231.4,96,0.0625,0.06,241.89583333333334,92,0.08695652173913043,0.08,250.8586956521739,99,0.06060606060606061,0.06,211.04040404040404,272,0.07352941176470588,0.0625,267.56617647058823,3565,3565,84.23760390281677
N,2,0.0001,184320,282,0.05673758865248227,0.05333333333333334,218.35106382978722,138,0.036231884057971016,0.03333333333333333,211.63768115942028,93,0.010752688172043012,0.01,203.55913978494624,95,0.06315789473684211,0.06,204.76842105263157,96,0.052083333333333336,0.05,211.91666666666666,92,0.043478260869565216,0.04,210.1086956521739,99,0.030303030303030304,0.03,175.78787878787878,272,0.04044117647058824,0.034375,233.41176470588235,3565,3565,84.23760390281677
