arm,seed,run_seed,learning_rate,step,E0/n,E0/success,E0/mean_steps,E1/n,E1/success,E1/mean_steps,E1b/n,E1b/success,E1b/mean_steps,E2/n,E2/success,E2/mean_steps,E3a/n,E3a/success,E3a/mean_steps,E3b/n,E3b/success,E3b/mean_steps,E4/n,E4/success,E4/mean_steps,E5/n,E5/success,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,2,359346417,0.0003,204800,282,0.03900709219858156,230.4822695035461,138,0.014492753623188406,227.02898550724638,93,0.0,216.1290322580645,95,0.042105263157894736,238.16842105263157,96,0.03125,232.46875,92,0.043478260869565216,239.3695652173913,99,0.050505050505050504,219.3838383838384,272,0.051470588235294115,238.7058823529412,4207,4207,276.60360503196716
N,2,359346417,0.0003,225280,282,0.1950354609929078,325.3510638297872,138,0.17391304347826086,326.0072463768116,93,0.16129032258064516,312.247311827957,95,0.14736842105263157,321.1578947368421,96,0.11458333333333333,312.0416666666667,92,0.1956521739130435,325.5,99,0.09090909090909091,277.8686868686869,272,0.22426470588235295,350.1985294117647,4207,4207,276.60360503196716
N,2,359346417,0.0003,245760,282,0.7056737588652482,470.99645390070924,138,0.7246376811594203,479.5289855072464,93,0.7204301075268817,471.741935483871,95,0.7052631578947368,477.0210526315789,96,0.625,470.1458333333333,92,0.717391304347826,470.1521739130435,99,0.6767676767676768,455.020202020202,272,0.7352941176470589,471.47058823529414,4207,4207,276.60360503196716
N,2,359346417,0.0003,266240,282,0.9929078014184397,498.42907801418437,138,1.0,500.0,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,0.9891304347826086,495.5326086956522,99,0.98989898989899,498.85858585858585,272,0.9264705882352942,485.6617647058824,4207,4207,276.60360503196716
N,2,359346417,0.0003,286720,282,0.8226950354609929,478.6170212765957,138,0.9492753623188406,494.7536231884058,93,0.946236559139785,495.2043010752688,95,0.9368421052631579,494.8421052631579,96,0.9166666666666666,495.1979166666667,92,0.8478260869565217,489.9021739130435,99,0.8181818181818182,473.72727272727275,272,0.8823529411764706,484.15441176470586,4207,4207,276.60360503196716
N,2,359346417,0.0003,307200,282,0.475177304964539,452.8085106382979,138,0.5579710144927537,469.2463768115942,93,0.6451612903225806,477.1290322580645,95,0.5789473684210527,472.4842105263158,96,0.5833333333333334,471.5520833333333,92,0.5217391304347826,459.9782608695652,99,0.47474747474747475,439.7171717171717,272,0.6838235294117647,471.2022058823529,4207,4207,276.60360503196716
N,2,359346417,0.0003,327680,282,0.9645390070921985,493.27659574468083,138,0.9782608695652174,498.71014492753625,93,1.0,500.0,95,0.9894736842105263,499.33684210526314,96,1.0,500.0,92,0.9347826086956522,489.0,99,0.9292929292929293,488.4848484848485,272,0.9448529411764706,492.49264705882354,4207,4207,276.60360503196716
N,2,359346417,0.0003,348160,282,0.6737588652482269,439.8156028368794,138,0.6086956521739131,452.2028985507246,93,0.6129032258064516,451.36559139784947,95,0.5789473684210527,434.38947368421054,96,0.6666666666666666,450.6666666666667,92,0.6304347826086957,437.0978260869565,99,0.5757575757575758,404.2929292929293,272,0.7279411764705882,458.1029411764706,4207,4207,276.60360503196716
N,2,359346417,0.0003,368640,282,0.9893617021276596,497.0354609929078,138,1.0,500.0,93,1.0,500.0,95,1.0,500.0,96,1.0,500.0,92,0.9782608695652174,492.4347826086956,99,1.0,500.0,272,0.9816176470588235,494.9485294117647,4207,4207,276.60360503196716
N,2,359346417,0.0003,389120,282,0.46808510638297873,388.93971631205676,138,0.37681159420289856,395.1014492753623,93,0.2903225806451613,377.78494623655916,95,0.4842105263157895,396.0105263157895,96,0.4270833333333333,389.375,92,0.532608695652174,404.25,99,0.3838383838383838,340.6969696969697,272,0.4742647058823529,407.5625,4207,4207,276.60360503196716
