arm,seed,run_seed,learning_rate,step,E0/n,E0/success,E0/mean_steps,n_episodes,n_new,wall_time_sec
B_mab,1,4289564374,0.0003,0,282,0.0,12.23049645390071,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,20480,282,0.0248226950354609,133.81205673758865,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,40960,282,0.1666666666666666,297.031914893617,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,61440,282,0.3368794326241134,371.2411347517731,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,81920,282,0.0248226950354609,209.97163120567376,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,102400,282,0.0390070921985815,229.06382978723408,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,122880,282,0.1524822695035461,289.08156028368796,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,143360,282,0.8368794326241135,483.15248226950354,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,163840,282,0.4042553191489361,385.9574468085106,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,184320,282,0.0425531914893617,196.18085106382975,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,204800,282,0.4645390070921986,420.65248226950354,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,225280,282,0.4964539007092198,414.0354609929078,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,245760,282,0.3581560283687943,372.418439716312,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,266240,282,0.6985815602836879,456.3758865248227,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,286720,282,0.5886524822695035,435.581560283688,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,307200,282,0.8546099290780141,477.1276595744681,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,327680,282,0.99645390070922,499.95390070921985,2484,1271,106.82943296432497
B_mab,1,4289564374,0.0003,348160,282,0.9893617021276596,495.2836879432624,2484,1271,106.82943296432497
