arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,3,3e-05,204800,282,0.34397163120567376,0.3233333333333333,323.54609929078015,138,0.39855072463768115,0.36666666666666664,345.3550724637681,93,0.3548387096774194,0.33,339.23655913978496,95,0.4105263157894737,0.39,333.58947368421053,96,0.4479166666666667,0.43,347.8958333333333,92,0.391304347826087,0.36,344.4130434782609,99,0.25252525252525254,0.25,265.0808080808081,272,0.3382352941176471,0.2875,333.18014705882354,7082,7082,85.22783899307251
N,3,3e-05,225280,282,0.1702127659574468,0.16,286.7588652482269,138,0.16666666666666666,0.15333333333333332,292.5869565217391,93,0.13978494623655913,0.13,286.8709677419355,95,0.14736842105263157,0.14,271.70526315789476,96,0.19791666666666666,0.19,294.0729166666667,92,0.1956521739130435,0.18,289.2717391304348,99,0.050505050505050504,0.05,216.40404040404042,272,0.20220588235294118,0.171875,313.04411764705884,7082,7082,85.22783899307251
N,3,3e-05,245760,282,0.1347517730496454,0.12666666666666668,270.5744680851064,138,0.10144927536231885,0.09333333333333334,262.9347826086956,93,0.07526881720430108,0.07,261.73118279569894,95,0.08421052631578947,0.08,250.37894736842105,96,0.11458333333333333,0.11,266.6354166666667,92,0.15217391304347827,0.14,274.35869565217394,99,0.050505050505050504,0.05,211.92929292929293,272,0.16911764705882354,0.14375,301.6139705882353,7082,7082,85.22783899307251
N,3,3e-05,266240,282,0.1276595744680851,0.12,286.48936170212767,138,0.057971014492753624,0.05333333333333334,280.4927536231884,93,0.08602150537634409,0.08,279.80645161290323,95,0.09473684210526316,0.09,270.36842105263156,96,0.11458333333333333,0.11,280.15625,92,0.18478260869565216,0.17,291.0108695652174,99,0.08080808080808081,0.08,237.13131313131314,272,0.16544117647058823,0.140625,315.7095588235294,7082,7082,85.22783899307251
N,3,3e-05,286720,282,0.1347517730496454,0.12666666666666668,280.64539007092196,138,0.10144927536231885,0.09333333333333334,277.4710144927536,93,0.08602150537634409,0.08,272.59139784946234,95,0.10526315789473684,0.1,261.4947368421053,96,0.11458333333333333,0.11,273.3541666666667,92,0.14130434782608695,0.13,279.0652173913044,99,0.0707070707070707,0.07,228.27272727272728,272,0.15441176470588236,0.13125,307.0772058823529,7082,7082,85.22783899307251
N,3,3e-05,307200,282,0.09219858156028368,0.08666666666666667,264.91843971631204,138,0.036231884057971016,0.03333333333333333,251.52898550724638,93,0.07526881720430108,0.07,257.73118279569894,95,0.08421052631578947,0.08,248.30526315789473,96,0.10416666666666667,0.1,258.7291666666667,92,0.15217391304347827,0.14,269.2391304347826,99,0.08080808080808081,0.08,218.75757575757575,272,0.13602941176470587,0.115625,291.51838235294116,7082,7082,85.22783899307251
N,3,3e-05,327680,282,0.1773049645390071,0.16666666666666666,303.08156028368796,138,0.10144927536231885,0.09333333333333334,297.8768115942029,93,0.12903225806451613,0.12,299.18279569892474,95,0.1368421052631579,0.13,287.9578947368421,96,0.13541666666666666,0.13,297.8125,92,0.21739130434782608,0.2,303.6304347826087,99,0.12121212121212122,0.12,248.35353535353536,272,0.20220588235294118,0.171875,331.1654411764706,7082,7082,85.22783899307251
N,3,3e-05,348160,282,0.20567375886524822,0.19333333333333333,314.1276595744681,138,0.15217391304347827,0.14,315.92753623188406,93,0.15053763440860216,0.14,306.5376344086022,95,0.12631578947368421,0.12,292.2421052631579,96,0.15625,0.15,308.1041666666667,92,0.17391304347826086,0.16,311.42391304347825,99,0.0707070707070707,0.07,251.5151515151515,272,0.20955882352941177,0.178125,340.49264705882354,7082,7082,85.22783899307251
N,3,3e-05,368640,282,0.2872340425531915,0.27,345.06028368794324,138,0.2608695652173913,0.24,351.77536231884056,93,0.1827956989247312,0.17,345.1290322580645,95,0.23157894736842105,0.22,328.22105263157897,96,0.23958333333333334,0.23,347.6041666666667,92,0.2826086956521739,0.26,341.6521739130435,99,0.16161616161616163,0.16,279.030303030303,272,0.3382352941176471,0.2875,363.6102941176471,7082,7082,85.22783899307251
N,3,3e-05,389120,282,0.2375886524822695,0.22333333333333333,321.6099290780142,138,0.15942028985507245,0.14666666666666667,320.768115942029,93,0.16129032258064516,0.15,313.5698924731183,95,0.14736842105263157,0.14,306.53684210526313,96,0.16666666666666666,0.16,315.71875,92,0.25,0.23,318.2608695652174,99,0.12121212121212122,0.12,256.6060606060606,272,0.2977941176470588,0.253125,345.3125,7082,7082,85.22783899307251
