arm,seed,run_seed,step,random/n,random/success,random/mean_steps,n_episodes,n_new,wall_time_sec
REF,3,1455100860,0,293,0.017064846416382253,499.0,2460,2460,95.99937701225281
REF,3,1455100860,16384,293,0.9385665529010239,163.3924914675768,2460,2460,95.99937701225281
REF,3,1455100860,32768,293,0.9522184300341296,152.9419795221843,2460,2460,95.99937701225281
REF,3,1455100860,49152,293,0.931740614334471,155.05119453924914,2460,2460,95.99937701225281
REF,3,1455100860,65536,293,0.9522184300341296,150.12627986348122,2460,2460,95.99937701225281
REF,3,1455100860,81920,293,0.9351535836177475,158.09556313993173,2460,2460,95.99937701225281
REF,3,1455100860,98304,293,0.8839590443686007,172.25597269624572,2460,2460,95.99937701225281
REF,3,1455100860,114688,293,0.8225255972696246,199.68941979522185,2460,2460,95.99937701225281
REF,3,1455100860,131072,293,0.7064846416382252,234.8122866894198,2460,2460,95.99937701225281
REF,3,1455100860,147456,293,0.8430034129692833,186.77474402730377,2460,2460,95.99937701225281
REF,3,1455100860,163840,293,0.9215017064846417,167.71672354948805,2460,2460,95.99937701225281
REF,3,1455100860,180224,293,0.931740614334471,164.66894197952217,2460,2460,95.99937701225281
REF,3,1455100860,196608,293,0.9351535836177475,160.61433447098977,2460,2460,95.99937701225281
REF,3,1455100860,212992,293,0.8600682593856656,184.25597269624572,2460,2460,95.99937701225281
REF,3,1455100860,229376,293,0.9453924914675768,159.55972696245735,2460,2460,95.99937701225281
REF,3,1455100860,245760,293,0.9590443686006825,154.0307167235495,2460,2460,95.99937701225281
REF,3,1455100860,262144,293,0.9556313993174061,157.06143344709898,2460,2460,95.99937701225281
REF,3,1455100860,278528,293,0.9146757679180887,161.9419795221843,2460,2460,95.99937701225281
REF,3,1455100860,294912,293,0.9112627986348123,165.16723549488054,2460,2460,95.99937701225281
REF,3,1455100860,311296,293,0.9351535836177475,158.4334470989761,2460,2460,95.99937701225281
REF,3,1455100860,327680,293,0.9419795221843004,160.1433447098976,2460,2460,95.99937701225281
REF,3,1455100860,344064,293,0.9453924914675768,161.2764505119454,2460,2460,95.99937701225281
REF,3,1455100860,360448,293,0.9488054607508533,161.3174061433447,2460,2460,95.99937701225281
REF,3,1455100860,376832,293,0.9556313993174061,158.50853242320818,2460,2460,95.99937701225281
REF,3,1455100860,393216,293,0.9522184300341296,158.9863481228669,2460,2460,95.99937701225281
REF,3,1455100860,409600,293,0.9488054607508533,154.22184300341297,2460,2460,95.99937701225281
REF,3,1455100860,425984,293,0.9419795221843004,157.419795221843,2460,2460,95.99937701225281
REF,3,1455100860,442368,293,0.9556313993174061,155.419795221843,2460,2460,95.99937701225281
REF,3,1455100860,458752,293,0.89419795221843,179.31058020477815,2460,2460,95.99937701225281
REF,3,1455100860,475136,293,0.9488054607508533,157.1433447098976,2460,2460,95.99937701225281
REF,3,1455100860,491520,293,0.9488054607508533,154.02389078498294,2460,2460,95.99937701225281
REF,4,688890933,0,293,0.0,500.0,2627,2627,95.75613498687744
REF,4,688890933,16384,293,0.8327645051194539,185.94880546075086,2627,2627,95.75613498687744
REF,4,688890933,32768,293,0.9351535836177475,156.76450511945393,2627,2627,95.75613498687744
REF,4,688890933,49152,293,0.9385665529010239,156.93856655290102,2627,2627,95.75613498687744
REF,4,688890933,65536,293,0.8600682593856656,181.07508532423208,2627,2627,95.75613498687744
REF,4,688890933,81920,293,0.8156996587030717,195.34129692832764,2627,2627,95.75613498687744
REF,4,688890933,98304,293,0.7952218430034129,199.22866894197952,2627,2627,95.75613498687744
REF,4,688890933,114688,293,0.7781569965870307,204.87713310580205,2627,2627,95.75613498687744
REF,4,688890933,131072,293,0.9180887372013652,160.76450511945393,2627,2627,95.75613498687744
REF,4,688890933,147456,293,0.8873720136518771,170.21843003412968,2627,2627,95.75613498687744
REF,4,688890933,163840,293,0.8122866894197952,191.15017064846415,2627,2627,95.75613498687744
REF,4,688890933,180224,293,0.8156996587030717,196.09215017064847,2627,2627,95.75613498687744
REF,4,688890933,196608,293,0.825938566552901,191.52901023890786,2627,2627,95.75613498687744
REF,4,688890933,212992,293,0.9249146757679181,159.19795221843003,2627,2627,95.75613498687744
REF,4,688890933,229376,293,0.9180887372013652,160.0307167235495,2627,2627,95.75613498687744
REF,4,688890933,245760,293,0.9215017064846417,163.21843003412968,2627,2627,95.75613498687744
REF,4,688890933,262144,293,0.962457337883959,148.4505119453925,2627,2627,95.75613498687744
REF,4,688890933,278528,293,0.9590443686006825,148.81911262798636,2627,2627,95.75613498687744
REF,4,688890933,294912,293,0.9590443686006825,151.18430034129693,2627,2627,95.75613498687744
REF,4,688890933,311296,293,0.9692832764505119,145.67235494880546,2627,2627,95.75613498687744
REF,4,688890933,327680,293,0.9590443686006825,151.8259385665529,2627,2627,95.75613498687744
REF,4,688890933,344064,293,0.9351535836177475,151.86348122866895,2627,2627,95.75613498687744
REF,4,688890933,360448,293,0.9692832764505119,146.49488054607508,2627,2627,95.75613498687744
REF,4,688890933,376832,293,0.9590443686006825,150.77133105802048,2627,2627,95.75613498687744
REF,4,688890933,393216,293,0.9453924914675768,151.93174061433447,2627,2627,95.75613498687744
REF,4,688890933,409600,293,0.931740614334471,158.50511945392492,2627,2627,95.75613498687744
REF,4,688890933,425984,293,0.931740614334471,154.5767918088737,2627,2627,95.75613498687744
REF,4,688890933,442368,293,0.9385665529010239,157.53924914675767,2627,2627,95.75613498687744
REF,4,688890933,458752,293,0.9010238907849829,162.2457337883959,2627,2627,95.75613498687744
REF,4,688890933,475136,293,0.89419795221843,165.48805460750853,2627,2627,95.75613498687744
REF,4,688890933,491520,293,0.9419795221843004,151.2320819112628,2627,2627,95.75613498687744
REF,5,2830908527,0,293,0.0,500.0,2520,2520,96.53247213363647
REF,5,2830908527,16384,293,0.6962457337883959,253.06825938566553,2520,2520,96.53247213363647
REF,5,2830908527,32768,293,0.5290102389078498,308.80204778156997,2520,2520,96.53247213363647
REF,5,2830908527,49152,293,0.7679180887372014,220.92150170648463,2520,2520,96.53247213363647
REF,5,2830908527,65536,293,0.9488054607508533,154.38566552901023,2520,2520,96.53247213363647
REF,5,2830908527,81920,293,0.9590443686006825,149.0170648464164,2520,2520,96.53247213363647
REF,5,2830908527,98304,293,0.9556313993174061,151.30034129692834,2520,2520,96.53247213363647
REF,5,2830908527,114688,293,0.9351535836177475,161.78156996587032,2520,2520,96.53247213363647
REF,5,2830908527,131072,293,0.9112627986348123,168.1023890784983,2520,2520,96.53247213363647
REF,5,2830908527,147456,293,0.9556313993174061,155.2457337883959,2520,2520,96.53247213363647
REF,5,2830908527,163840,293,0.9522184300341296,159.70307167235495,2520,2520,96.53247213363647
REF,5,2830908527,180224,293,0.9351535836177475,158.80887372013652,2520,2520,96.53247213363647
REF,5,2830908527,196608,293,0.7610921501706485,218.86348122866895,2520,2520,96.53247213363647
REF,5,2830908527,212992,293,0.6723549488054608,241.22866894197952,2520,2520,96.53247213363647
REF,5,2830908527,229376,293,0.7781569965870307,206.69965870307166,2520,2520,96.53247213363647
REF,5,2830908527,245760,293,0.8156996587030717,195.39931740614335,2520,2520,96.53247213363647
REF,5,2830908527,262144,293,0.89419795221843,170.25597269624572,2520,2520,96.53247213363647
REF,5,2830908527,278528,293,0.8464163822525598,188.05119453924914,2520,2520,96.53247213363647
REF,5,2830908527,294912,293,0.8532423208191127,184.1740614334471,2520,2520,96.53247213363647
REF,5,2830908527,311296,293,0.8771331058020477,173.27986348122866,2520,2520,96.53247213363647
REF,5,2830908527,327680,293,0.9249146757679181,157.75085324232083,2520,2520,96.53247213363647
REF,5,2830908527,344064,293,0.9488054607508533,151.24232081911262,2520,2520,96.53247213363647
REF,5,2830908527,360448,293,0.8907849829351536,169.17747440273038,2520,2520,96.53247213363647
REF,5,2830908527,376832,293,0.8668941979522184,173.86006825938566,2520,2520,96.53247213363647
REF,5,2830908527,393216,293,0.8703071672354948,173.0443686006826,2520,2520,96.53247213363647
REF,5,2830908527,409600,293,0.7406143344709898,219.21501706484642,2520,2520,96.53247213363647
REF,5,2830908527,425984,293,0.9283276450511946,161.32764505119454,2520,2520,96.53247213363647
REF,5,2830908527,442368,293,0.9044368600682594,159.66894197952217,2520,2520,96.53247213363647
REF,5,2830908527,458752,293,0.9010238907849829,162.03754266211604,2520,2520,96.53247213363647
REF,5,2830908527,475136,293,0.7679180887372014,209.29692832764505,2520,2520,96.53247213363647
REF,5,2830908527,491520,293,0.863481228668942,184.1740614334471,2520,2520,96.53247213363647
REF,6,3157702678,0,293,0.0,500.0,2506,2506,96.37835597991943
REF,6,3157702678,16384,293,0.757679180887372,248.4368600682594,2506,2506,96.37835597991943
REF,6,3157702678,32768,293,0.9419795221843004,161.2901023890785,2506,2506,96.37835597991943
REF,6,3157702678,49152,293,0.9385665529010239,158.320819112628,2506,2506,96.37835597991943
REF,6,3157702678,65536,293,0.9283276450511946,164.73037542662115,2506,2506,96.37835597991943
REF,6,3157702678,81920,293,0.8532423208191127,179.59044368600684,2506,2506,96.37835597991943
REF,6,3157702678,98304,293,0.9146757679180887,172.9692832764505,2506,2506,96.37835597991943
REF,6,3157702678,114688,293,0.7474402730375427,221.21501706484642,2506,2506,96.37835597991943
REF,6,3157702678,131072,293,0.6962457337883959,237.77815699658703,2506,2506,96.37835597991943
REF,6,3157702678,147456,293,0.9249146757679181,163.49146757679182,2506,2506,96.37835597991943
REF,6,3157702678,163840,293,0.9556313993174061,155.3924914675768,2506,2506,96.37835597991943
REF,6,3157702678,180224,293,0.9556313993174061,157.35836177474403,2506,2506,96.37835597991943
REF,6,3157702678,196608,293,0.9453924914675768,156.9556313993174,2506,2506,96.37835597991943
REF,6,3157702678,212992,293,0.9453924914675768,155.2627986348123,2506,2506,96.37835597991943
REF,6,3157702678,229376,293,0.9522184300341296,151.63822525597269,2506,2506,96.37835597991943
REF,6,3157702678,245760,293,0.9385665529010239,163.3481228668942,2506,2506,96.37835597991943
REF,6,3157702678,262144,293,0.9590443686006825,153.46075085324233,2506,2506,96.37835597991943
REF,6,3157702678,278528,293,0.9180887372013652,159.6518771331058,2506,2506,96.37835597991943
REF,6,3157702678,294912,293,0.9419795221843004,156.78156996587032,2506,2506,96.37835597991943
REF,6,3157702678,311296,293,0.8771331058020477,170.42662116040955,2506,2506,96.37835597991943
REF,6,3157702678,327680,293,0.9112627986348123,169.12627986348122,2506,2506,96.37835597991943
REF,6,3157702678,344064,293,0.9488054607508533,156.99317406143345,2506,2506,96.37835597991943
REF,6,3157702678,360448,293,0.9351535836177475,156.55631399317406,2506,2506,96.37835597991943
REF,6,3157702678,376832,293,0.9590443686006825,157.54607508532422,2506,2506,96.37835597991943
REF,6,3157702678,393216,293,0.9283276450511946,161.87713310580205,2506,2506,96.37835597991943
REF,6,3157702678,409600,293,0.9522184300341296,151.86348122866895,2506,2506,96.37835597991943
REF,6,3157702678,425984,293,0.962457337883959,150.46757679180888,2506,2506,96.37835597991943
REF,6,3157702678,442368,293,0.9522184300341296,156.55631399317406,2506,2506,96.37835597991943
REF,6,3157702678,458752,293,0.9385665529010239,154.23549488054607,2506,2506,96.37835597991943
REF,6,3157702678,475136,293,0.9453924914675768,159.3481228668942,2506,2506,96.37835597991943
REF,6,3157702678,491520,293,0.9351535836177475,154.5221843003413,2506,2506,96.37835597991943
REF,1,852122768,0,293,0.0,500.0,2470,2470,96.91750907897949
REF,1,852122768,16384,293,0.8395904436860068,237.18088737201364,2470,2470,96.91750907897949
REF,1,852122768,32768,293,0.8771331058020477,172.1296928327645,2470,2470,96.91750907897949
REF,1,852122768,49152,293,0.7508532423208191,217.19112627986348,2470,2470,96.91750907897949
REF,1,852122768,65536,293,0.9078498293515358,165.2627986348123,2470,2470,96.91750907897949
REF,1,852122768,81920,293,0.8464163822525598,185.32764505119454,2470,2470,96.91750907897949
REF,1,852122768,98304,293,0.7849829351535836,207.18430034129693,2470,2470,96.91750907897949
REF,1,852122768,114688,293,0.5733788395904437,280.81569965870307,2470,2470,96.91750907897949
REF,1,852122768,131072,293,0.6245733788395904,259.0546075085324,2470,2470,96.91750907897949
REF,1,852122768,147456,293,0.8122866894197952,196.0307167235495,2470,2470,96.91750907897949
REF,1,852122768,163840,293,0.863481228668942,180.6962457337884,2470,2470,96.91750907897949
REF,1,852122768,180224,293,0.8668941979522184,182.5938566552901,2470,2470,96.91750907897949
REF,1,852122768,196608,293,0.7679180887372014,217.56996587030716,2470,2470,96.91750907897949
REF,1,852122768,212992,293,0.8430034129692833,194.05460750853243,2470,2470,96.91750907897949
REF,1,852122768,229376,293,0.9215017064846417,167.60409556313994,2470,2470,96.91750907897949
REF,1,852122768,245760,293,0.9453924914675768,155.55972696245735,2470,2470,96.91750907897949
REF,1,852122768,262144,293,0.9453924914675768,152.419795221843,2470,2470,96.91750907897949
REF,1,852122768,278528,293,0.9283276450511946,158.07849829351537,2470,2470,96.91750907897949
REF,1,852122768,294912,293,0.9249146757679181,165.61092150170649,2470,2470,96.91750907897949
