arm,seed,run_seed,step,random/n,random/success,random/mean_steps,n_episodes,n_new,wall_time_sec
N,1006,2971091088,0,298,0.0,200.0,13300,13300,214.65356492996216
N,1006,2971091088,40960,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,81920,298,0.4899328859060403,125.68120805369128,13300,13300,214.65356492996216
N,1006,2971091088,122880,298,0.0,200.0,13300,13300,214.65356492996216
N,1006,2971091088,163840,298,0.0,200.0,13300,13300,214.65356492996216
N,1006,2971091088,204800,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,245760,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,286720,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,327680,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,368640,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,409600,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,450560,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,491520,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,532480,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,573440,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,614400,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,655360,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,696320,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,737280,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,778240,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,819200,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,860160,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,901120,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,942080,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,983040,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,1024000,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,1064960,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,1105920,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,1146880,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,1187840,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1006,2971091088,1228800,298,0.6711409395973155,90.48657718120805,13300,13300,214.65356492996216
N,1005,3714635706,0,298,0.0,200.0,13673,13673,216.2986478805542
N,1005,3714635706,40960,298,0.5469798657718121,109.24496644295301,13673,13673,216.2986478805542
N,1005,3714635706,81920,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,122880,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,163840,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,204800,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,245760,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,286720,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,327680,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,368640,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,409600,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,450560,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,491520,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,532480,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,573440,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,614400,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,655360,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,696320,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,737280,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,778240,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,819200,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,860160,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,901120,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,942080,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,983040,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,1024000,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,1064960,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,1105920,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,1146880,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,1187840,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1005,3714635706,1228800,298,0.6711409395973155,90.48657718120805,13673,13673,216.2986478805542
N,1001,407579403,0,298,0.0,200.0,13330,13330,219.7131838798523
N,1001,407579403,40960,298,0.5335570469798657,113.07046979865771,13330,13330,219.7131838798523
N,1001,407579403,81920,298,0.0,200.0,13330,13330,219.7131838798523
N,1001,407579403,122880,298,0.4429530201342282,128.7986577181208,13330,13330,219.7131838798523
N,1001,407579403,163840,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,204800,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,245760,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,286720,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,327680,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,368640,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,409600,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,450560,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,491520,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,532480,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,573440,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,614400,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,655360,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,696320,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,737280,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,778240,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,819200,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,860160,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,901120,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,942080,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,983040,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,1024000,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,1064960,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,1105920,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,1146880,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,1187840,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1001,407579403,1228800,298,0.6711409395973155,90.48657718120805,13330,13330,219.7131838798523
N,1002,509429501,0,298,0.0,200.0,13780,13780,220.784441947937
N,1002,509429501,40960,298,0.10067114093959731,186.3523489932886,13780,13780,220.784441947937
N,1002,509429501,81920,298,0.5134228187919463,114.88255033557047,13780,13780,220.784441947937
N,1002,509429501,122880,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,163840,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,204800,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,245760,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,286720,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,327680,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,368640,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,409600,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,450560,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,491520,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,532480,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,573440,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,614400,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,655360,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,696320,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,737280,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,778240,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,819200,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,860160,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,901120,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,942080,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,983040,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,1024000,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,1064960,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,1105920,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,1146880,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,1187840,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1002,509429501,1228800,298,0.6711409395973155,90.48657718120805,13780,13780,220.784441947937
N,1004,3412689977,0,298,0.0,200.0,13065,13065,220.62475681304932
N,1004,3412689977,40960,298,0.07718120805369127,192.7785234899329,13065,13065,220.62475681304932
N,1004,3412689977,81920,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,122880,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,163840,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,204800,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,245760,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,286720,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,327680,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,368640,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,409600,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,450560,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,491520,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,532480,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,573440,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,614400,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,655360,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,696320,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,737280,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,778240,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,819200,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,860160,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,901120,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,942080,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,983040,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,1024000,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,1064960,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,1105920,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,1146880,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,1187840,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1004,3412689977,1228800,298,0.6711409395973155,90.48657718120805,13065,13065,220.62475681304932
N,1003,355198357,0,298,0.006711409395973154,199.31879194630872,13737,13737,221.67194819450378
N,1003,355198357,40960,298,0.4563758389261745,126.67114093959732,13737,13737,221.67194819450378
N,1003,355198357,81920,298,0.6677852348993288,91.08724832214764,13737,13737,221.67194819450378
N,1003,355198357,122880,298,0.6711409395973155,90.48657718120805,13737,13737,221.67194819450378
N,1003,355198357,163840,298,0.6711409395973155,90.48657718120805,13737,13737,221.67194819450378
N,1003,355198357,204800,298,0.6711409395973155,90.48657718120805,13737,13737,221.67194819450378
N,1003,355198357,245760,298,0.6711409395973155,90.48657718120805,13737,13737,221.67194819450378
