arm,seed,final_random,auc_random,final_steps_random,auc_steps_random,final_verifai,auc_verifai,final_steps_verifai,auc_steps_verifai
A,1,0.9408418657565415,0.9345847554038679,155.5824800910125,158.1827834660599,0.07833333333333332,0.08091666666666668,491.3296666666667,490.80233333333337
A,2,0.9408418657565415,0.9175199089874858,152.04095563139933,161.3337125521426,0.0725,0.06516666666666666,491.69249999999994,492.6468055555556
A,3,0.9385665529010239,0.8839590443686007,155.0443686006826,171.8642396662874,0.073,0.044972222222222226,491.8231666666666,495.03438888888894
A,4,0.9351535836177476,0.9419795221843003,153.2957906712173,152.88869927948429,0.077,0.08630555555555557,491.1705,490.0185833333333
A,5,0.9419795221843005,0.9268107698141828,151.27189988623437,157.90273037542664,0.09100000000000001,0.08291666666666667,489.5336666666667,490.4789444444444
A,6,0.9488054607508531,0.9416003033750473,149.1763367463026,151.76659082290482,0.07366666666666667,0.08374999999999998,491.644,490.5628888888889
A,7,0.9306029579067121,0.9256731133864238,154.72241183162683,157.21899886234357,0.06383333333333334,0.06808333333333333,492.36266666666666,492.30875000000003
A,8,0.924914675767918,0.912779673871824,156.14220705346986,161.66003033750474,0.058166666666666665,0.058499999999999996,493.2076666666667,493.4556388888889
A,9,0.9419795221843003,0.9137277208949564,151.86689419795223,162.50834281380355,0.06999999999999999,0.06358333333333333,492.22633333333334,492.69416666666666
A,10,0.8896473265073949,0.9196056124383768,165.95221843003412,162.9914675767918,0.05416666666666667,0.07219444444444444,493.70416666666665,492.05177777777783
A,11,0.9579067121729237,0.8500189609404627,147.28896473265073,184.39419795221843,0.09283333333333332,0.057249999999999995,489.8706666666667,493.5612777777777
A,12,0.9567690557451649,0.9186575654152445,151.2844141069397,162.1539628365567,0.085,0.06694444444444445,489.8388333333334,492.2176388888889
A,13,0.9579067121729237,0.9495638983693591,146.5221843003413,151.22715206674252,0.10733333333333334,0.09625,487.18683333333337,488.87666666666667
A,14,0.9556313993174061,0.9414106939704209,149.0420932878271,153.06295032233598,0.10483333333333333,0.09125,488.28950000000003,489.60463888888887
A,15,0.9397042093287826,0.8050815320439894,154.353811149033,200.39647326507395,0.08949999999999998,0.05638888888888888,489.98199999999997,493.64811111111106
A,16,0.8816837315130831,0.9108835798255593,168.46757679180888,162.1374668183542,0.04466666666666667,0.06558333333333334,494.7626666666667,492.4956944444445
A,17,0.8919226393629124,0.9070913917330301,171.52559726962457,164.92282897231703,0.0625,0.060444444444444446,492.94533333333334,493.16822222222225
A,18,0.9488054607508533,0.8543799772468715,147.4698521046644,183.51535836177476,0.08816666666666666,0.05069444444444444,490.4046666666666,494.4411944444445
