arm,final_random|mean,final_random|std,final_random|count,auc_random|mean,auc_random|std,auc_random|count,final_steps_random|mean,final_steps_random|std,final_steps_random|count,auc_steps_random|mean,auc_steps_random|std,auc_steps_random|count,final_verifai|mean,final_verifai|std,final_verifai|count,auc_verifai|mean,auc_verifai|std,auc_verifai|count,final_steps_verifai|mean,final_steps_verifai|std,final_steps_verifai|count,auc_steps_verifai|mean,auc_steps_verifai|std,auc_steps_verifai|count
N,0.9249374288964732,0.03916765752508629,100,0.8921027682973076,0.04657556370600337,100,158.77109215017063,12.674431455548993,100,172.3856674251043,17.113586576889386,100,0.080025,0.019582602608331324,100,0.07017666666666666,0.012342421475395085,100,490.80249499999996,2.293186763244449,100,492.0096441666667,1.4385579082164381,100
A,0.9254266211604096,0.03204888478599911,100,0.9043648084945013,0.03952868660623233,100,156.7401934015927,9.417018243082211,100,165.44778346605992,13.090246768377424,100,0.07347666666666668,0.017524249993157232,100,0.06773861111111111,0.012908359079133564,100,491.48604,2.0386387353931887,100,492.2332275,1.4727002492870482,100
S_ce,0.9468600682593856,0.011566083257107807,100,0.9314998103905954,0.01770204520080764,100,150.23112627986347,4.804270236106573,100,156.19518581721653,6.049566662140445,100,0.08115833333333333,0.019628527977154687,100,0.07338833333333333,0.01615459464388516,100,490.70597833333335,2.3787399746104856,100,491.6125216666667,1.9237755089351798,100
S_mab,0.8981569965870306,0.05642464491078391,100,0.90806598407281,0.026813045258033297,100,168.71759954493743,16.819310996184843,100,164.4916761471369,8.197324947722235,100,0.036491666666666665,0.012792884679724574,100,0.05046972222222222,0.009486013107637166,100,495.9836666666667,1.4431792040239129,100,494.3184141666667,1.1057892659994366,100
S_sa,0.9278043230944255,0.030381608579984863,100,0.8871956769055745,0.056442392433876054,100,158.15285551763367,10.131400817014695,100,173.97850208570344,19.839293826314535,100,0.08131500000000001,0.017150876903628338,100,0.06870583333333333,0.015421200633075942,100,490.59773500000006,2.0310112593837375,100,492.1650677777778,1.7854443825066713,100
B_ce,0.9293856655290103,0.0726718487726559,100,0.9137125521425863,0.05796795801476931,100,156.4561433447099,24.32779079079374,100,162.06704209328782,19.00061582015979,100,0.07271333333333334,0.027293856274772234,100,0.06661583333333333,0.02070480143477711,100,491.6624283333333,3.2382421662537273,100,492.37121972222224,2.4380164821123755,100
B_mab,0.8598293515358361,0.10893194727263941,100,0.8882650739476677,0.05279261416542295,100,179.91098976109214,34.69836068706103,100,170.20675199089874,16.939155766162568,100,0.03614333333333333,0.020349348166939014,100,0.0496025,0.015584061630852328,100,495.9691383333333,2.311095228317488,100,494.3741541666667,1.7932316173604876,100
