arm,seed,run_seed,step,random/n,random/success,random/mean_steps,verifai/n,verifai/success,verifai/mean_steps,n_episodes,n_new,wall_time_sec
A,1,923506710,296960,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
A,1,923506710,307200,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,3862,1920,91.74627113342285
S_ce,1,3831076762,0,298,0.0,200.0,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,10240,298,0.41946308724832215,130.7281879194631,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,20480,298,0.6510067114093959,93.25167785234899,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,30720,298,0.17785234899328858,170.91275167785236,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,40960,298,0.41946308724832215,130.3993288590604,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,51200,298,0.5671140939597316,105.5,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,61440,298,0.5939597315436241,101.40268456375838,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,71680,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,81920,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,92160,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,102400,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,112640,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,122880,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,133120,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,143360,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,153600,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,163840,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,174080,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,184320,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,194560,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,204800,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,215040,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,225280,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,235520,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
S_ce,1,3831076762,245760,298,0.6711409395973155,90.48657718120805,2000,0.0,200.0,8234,8234,92.49008321762085
