id,a,b,metric,n_a,n_b,mean_a,mean_b,mean_diff,sd_a,sd_b,sd_diff,t,p,ci_lo,ci_hi,detectable,p_adj
C1,A,N,AUC_E0,100,100,0.6499468085106382,0.6262017336485421,0.023745074862096094,0.10496353646177765,0.10908973250489443,0.015138663654547697,1.5685053452497442,0.1183623346724877,-0.005167454688731257,0.05326773049645404,0.05969906378345573,1.0
C1,A,N,final_E6,100,100,0.2976266666666667,0.29089333333333334,0.006733333333333369,0.2156200324270414,0.1806851213753356,0.028131674580489898,0.23935060510059802,0.8110888801203808,-0.04777499999999992,0.06183133333333335,0.11093678236332172,1.0
C2_ce,S_ce,N,AUC_E0,100,100,0.6595902285263986,0.6262017336485421,0.033388494877856445,0.08913711199444298,0.10908973250489443,0.014087581223439066,2.3700658294913195,0.018784347415147788,0.005086239164696516,0.0604750788022062,0.05555413801402864,0.4696086853786947
C2_ce,S_ce,N,final_E6,100,100,0.2624533333333333,0.29089333333333334,-0.02844000000000002,0.22604706123836374,0.1806851213753356,0.028938622458735026,-0.9827696546562983,0.3269782988010965,-0.08458799999999998,0.028388333333333314,0.11411896765738555,1.0
C2_mab,S_mab,N,AUC_E0,100,100,0.6443951930654057,0.6262017336485421,0.018193459416863567,0.12215721211065216,0.10908973250489443,0.0163777148004953,1.1108667868800202,0.2679899259999493,-0.014608057525610693,0.04959963553979513,0.06458524099703487,1.0
C2_mab,S_mab,N,final_E6,100,100,0.289,0.29089333333333334,-0.001893333333333358,0.20542954368500835,0.1806851213753356,0.027358437547683623,-0.06920473181384812,0.9448976346627732,-0.05546766666666661,0.051174000000000004,0.10788753521743083,1.0
C2_sa,S_sa,N,AUC_E0,100,100,0.6237017336485421,0.6262017336485421,-0.0025000000000000577,0.11476886052440591,0.10908973250489443,0.015834285927713937,-0.1578852378574544,0.8747085439970435,-0.034165238376674546,0.027612637903861256,0.062442238438932575,1.0
C2_sa,S_sa,N,final_E6,100,100,0.27958666666666665,0.29089333333333334,-0.011306666666666687,0.1944607272836029,0.1806851213753356,0.026544695805770225,-0.4259482477930249,0.6706107045192692,-0.06257399999999998,0.04189533333333326,0.10467855843702954,1.0
C3_ce,B_ce,N,AUC_E0,100,100,0.6446473601260836,0.6262017336485421,0.018445626477541444,0.10250989208649383,0.10908973250489443,0.014969585068923598,1.2322069310948371,0.21933866329980534,-0.01128073286052036,0.04709441489361686,0.059032305244001854,1.0
C3_ce,B_ce,N,final_E6,100,100,0.28191999999999995,0.29089333333333334,-0.008973333333333389,0.22412016337642246,0.1806851213753356,0.02878835888311351,-0.31170006493829383,0.7556111932323041,-0.0646413333333333,0.04732333333333326,0.1135264057912882,1.0
C3_mab,B_mab,N,AUC_E0,100,100,0.6649625689519307,0.6262017336485421,0.038760835303388586,0.10411509584438396,0.10908973250489443,0.015079961180545089,2.570353785352882,0.010895533855099901,0.008987391646966266,0.06822946217494098,0.05946757157121705,0.28328388023259743
C3_mab,B_mab,N,final_E6,100,100,0.3192533333333333,0.29089333333333334,0.02835999999999994,0.21633181646446464,0.1806851213753356,0.028186267560859235,1.0061637263169232,0.3156037587072353,-0.026201666666666613,0.08368200000000012,0.11115206885700236,1.0
C3_sa,B_sa,N,AUC_E0,100,100,0.631924743892829,0.6262017336485421,0.005723010244286897,0.12674836685629776,0.10908973250489443,0.016722953757852727,0.34222484419652827,0.7325527208124014,-0.027769602048857523,0.03835756501182039,0.06594668497955068,1.0
C3_sa,B_sa,N,final_E6,100,100,0.3054,0.29089333333333334,0.014506666666666668,0.21169788735521708,0.1806851213753356,0.027832195133888012,0.5212189192006489,0.6028111028051252,-0.03918666666666665,0.0699493333333333,0.10975579023663891,1.0
C4_ce,B_ce,S_ce,AUC_E0,100,100,0.6446473601260836,0.6595902285263986,-0.014942868400315001,0.10250989208649383,0.08913711199444298,0.013584440625323694,-1.099998801014962,0.27269395690708875,-0.04109086879432628,0.011421296296296308,0.053570011584882934,1.0
C4_ce,B_ce,S_ce,final_E6,100,100,0.28191999999999995,0.2624533333333333,0.019466666666666632,0.22412016337642246,0.22604706123836374,0.03183192132535748,0.6115454504833605,0.5415401035193326,-0.04170733333333334,0.08084033333333338,0.12552864274658712,1.0
C4_mab,B_mab,S_mab,AUC_E0,100,100,0.6649625689519307,0.6443951930654057,0.02056737588652502,0.10411509584438396,0.12215721211065216,0.01605065034611748,1.281404519007549,0.2015878348819551,-0.009773098896768896,0.05214041568163922,0.06329546785927598,1.0
C4_mab,B_mab,S_mab,final_E6,100,100,0.3192533333333333,0.289,0.0302533333333333,0.21633181646446464,0.20542954368500835,0.029832993854698116,1.0140897517923426,0.31178081609361313,-0.026707666666666765,0.08907999999999999,0.11764590611325511,1.0
C4_sa,B_sa,S_sa,AUC_E0,100,100,0.631924743892829,0.6237017336485421,0.008223010244286955,0.12674836685629776,0.11476886052440591,0.017098842021262484,0.48091035837757934,0.6311163862791315,-0.025073236800630554,0.041812992513790684,0.06742899398150876,1.0
C4_sa,B_sa,S_sa,final_E6,100,100,0.3054,0.27958666666666665,0.025813333333333355,0.21169788735521708,0.1944607272836029,0.02874560313618936,0.8979924063877297,0.370288070087691,-0.030735333333333385,0.08110733333333332,0.11335779922726248,1.0
C5_ce,B_ce,A,AUC_E0,100,100,0.6446473601260836,0.6499468085106382,-0.00529944838455465,0.10250989208649383,0.10496353646177765,0.014671612713722897,-0.3612042171477088,0.7183321190168078,-0.03413332348305772,0.023515612687155168,0.05785725630674052,1.0
C5_ce,B_ce,A,final_E6,100,100,0.28191999999999995,0.2976266666666667,-0.015706666666666758,0.22412016337642246,0.2156200324270414,0.03110013601509046,-0.5050353046380742,0.6140965373088559,-0.07540033333333325,0.045040999999999956,0.12264285976664074,1.0
C5_mab,B_mab,A,AUC_E0,100,100,0.6649625689519307,0.6499468085106382,0.015015760441292492,0.10411509584438396,0.10496353646177765,0.014784213597363975,1.0156617626229238,0.31103004107831667,-0.013217198581560351,0.043723404255319176,0.05830129598474358,1.0
C5_mab,B_mab,A,final_E6,100,100,0.3192533333333333,0.2976266666666667,0.021626666666666572,0.21633181646446464,0.2156200324270414,0.030543649617989856,0.7080577120662331,0.47974210745157725,-0.03570766666666677,0.08122866666666659,0.12044836508248448,1.0
C5_sa,B_sa,A,AUC_E0,100,100,0.631924743892829,0.6499468085106382,-0.018022064617809197,0.12674836685629776,0.10496353646177765,0.016456759245763296,-1.095116258837467,0.27484218196742227,-0.049851310086682525,0.014096335697399409,0.06489695142851436,1.0
C5_sa,B_sa,A,final_E6,100,100,0.3054,0.2976266666666667,0.007773333333333299,0.21169788735521708,0.2156200324270414,0.030217212626994665,0.25724852352493166,0.7972541565087767,-0.051841,0.06658866666666666,0.1191610663359503,1.0
