arm,seed,final_random,auc_random,final_steps_random,auc_steps_random,final_verifai,auc_verifai,final_steps_verifai,auc_steps_verifai
A,1,0.975177304964539,0.6700157604412924,491.24822695035465,420.03349093774625,0.0014964459408902998,0.14144531737124325,58.83501683501684,169.62682379349044
A,2,0.9858156028368795,0.6217494089834514,494.93144208037825,410.56639085894403,0.4637111859334082,0.3310886644219977,267.03329592218483,238.66189674523008
A,3,0.9869976359338063,0.5786052009456265,495.6430260047282,393.8266351457841,0.15488215488215482,0.3719915201396683,131.5929667040778,252.9944506796359
A,4,0.9468085106382979,0.6548463356973996,490.5839243498818,419.4574468085106,0.5185185185185185,0.3269734380845491,291.7800224466891,237.05062975433344
A,5,0.9846335697399526,0.7767927501970054,493.78723404255317,450.23798266351463,0.067153011597456,0.260662177328844,92.21062476618033,209.76081805711434
A,6,0.9609929078014184,0.6710007880220646,493.21985815602835,427.9113475177305,0.22783389450056113,0.2691420376605562,164.85746352413017,237.42156129193168
A,7,0.8995271867612292,0.6278565799842396,481.5839243498818,399.9249408983452,0.5202020202020202,0.1539157002119965,308.74784885895997,156.28550941513905
A,8,0.9881796690307328,0.7637903861308116,495.0236406619385,437.404255319149,0.08454919566030673,0.19827908716797604,98.82846988402544,200.75355405910963
A,9,0.9621749408983451,0.7029156816390859,491.1513002364066,430.14992119779356,0.31762065095398423,0.3128507295173962,204.01571268237933,227.17012719790497
A,10,0.8026004728132388,0.658983451536643,477.36997635933807,435.1473601260835,0.1949120838009727,0.28036538221723406,174.07332585110362,227.41464022945502
A,11,0.8699763593380614,0.5632387706855791,478.89125295508273,411.27029156816394,0.41526374859708187,0.2311697219104626,283.59988776655445,203.3322733507919
A,12,0.6832151300236408,0.30122143420015757,438.78723404255317,353.6258865248227,0.28338945005611665,0.10655942137423614,219.37729143284696,161.26677266492084
A,13,0.9917257683215132,0.6877462568951931,498.2730496453901,443.9970449172577,0.7173587729143285,0.34620900361641105,383.8926300037412,269.7237186681632
A,14,0.9799054373522459,0.48345153664302604,495.4692671394799,373.38672182821125,0.6169098391320613,0.2931787005861079,343.0978301533857,234.60415887267737
A,15,0.7340425531914893,0.7129629629629629,461.73522458628844,446.64007092198585,0.15469509913954357,0.2633744855967078,142.16610549943883,197.9788315251278
A,16,0.9787234042553191,0.6828211189913318,491.0803782505911,414.7105988967691,0.011784511784511701,0.07154882154882149,63.471193415637856,117.91766429729392
A,17,0.9657210401891253,0.5397951142631993,491.6406619385343,382.7955082742317,0.3410026187803965,0.18836513280957723,239.42143658810323,193.17935528120714
A,18,0.8853427895981087,0.6889282899921197,476.43498817966906,421.44070133963754,0.15637860082304525,0.16619902731013841,168.19622147399923,177.75109115849855
A,19,0.983451536643026,0.5736800630417651,495.8995271867612,386.193853427896,0.7222222222222222,0.33579623394438207,387.0407781518893,252.20756952238432
