arm,AUC_E0|mean,AUC_E0|std,AUC_E0|count,final_E0|mean,final_E0|std,final_E0|count,final_E6|mean,final_E6|std,final_E6|count,auc_E6|mean,auc_E6|std,auc_E6|count,final_E7|mean,final_E7|std,final_E7|count,S_edge|mean,S_edge|std,S_edge|count,auc_edge|mean,auc_edge|std,auc_edge|count,final_E1v|mean,final_E1v|std,final_E1v|count,final_E2v|mean,final_E2v|std,final_E2v|count,final_E3v|mean,final_E3v|std,final_E3v|count,final_E4v|mean,final_E4v|std,final_E4v|count
N,0.6262017336485421,0.10908973250489443,100,0.9062529550827424,0.12955614082009545,100,0.29089333333333334,0.18068512137533563,100,0.24343777777777778,0.10828376006978022,100,0.9184666666666667,0.13475789489187723,100,0.2865333333333333,0.16880362846563748,100,0.23737916666666667,0.10055604900752299,100,0.28996666666666665,0.18078733840729846,100,0.3111,0.18667992677770254,100,0.2822,0.17210469760011474,100,0.2628666666666667,0.15271359165916132,100
A,0.6499468085106384,0.10496353646177765,100,0.9130496453900708,0.1254629265799238,100,0.2976266666666667,0.21562003242704136,100,0.25518444444444444,0.10933394037315625,100,0.9246333333333334,0.1311931732572826,100,0.2914,0.20368535240264446,100,0.24767916666666667,0.10255093588207732,100,0.29836666666666667,0.21459041193254244,100,0.31233333333333335,0.22084700739063837,100,0.2871666666666667,0.20825304850349463,100,0.2677333333333333,0.1880724363161917,100
S_ce,0.6595902285263988,0.08913711199444298,100,0.9613829787234042,0.07567792053500362,100,0.26245333333333337,0.2260470612383637,100,0.2545688888888889,0.10706559017059766,100,0.9739666666666666,0.07630450987138021,100,0.25782499999999997,0.21547955337079067,100,0.2437361111111111,0.0995842157785858,100,0.2626,0.22591258005511883,100,0.2776666666666667,0.23225605089255805,100,0.25503333333333333,0.21926184449972844,100,0.23600000000000002,0.19402291972400246,100
S_mab,0.6443951930654057,0.12215721211065218,100,0.9146690307328604,0.14255446614370643,100,0.289,0.20542954368500835,100,0.2505555555555556,0.11673456845020573,100,0.9263333333333332,0.14702473890338044,100,0.28475833333333334,0.1975556398844851,100,0.24108888888888888,0.11013104468763801,100,0.29023333333333334,0.2033409255082016,100,0.3049,0.21106722297656563,100,0.2803,0.20102380771500158,100,0.2636,0.18730870825605572,100
S_sa,0.6237017336485422,0.11476886052440595,100,0.8764775413711584,0.15766148941413066,100,0.27958666666666665,0.19446072728360295,100,0.22705111111111112,0.10688413043487939,100,0.8878333333333334,0.16277295128501437,100,0.2764666666666667,0.1831441907699903,100,0.22096527777777777,0.10057419166300215,100,0.2783333333333333,0.19319483022131426,100,0.2964,0.201238968230449,100,0.2707333333333333,0.18565719106081668,100,0.26039999999999996,0.16414884707335187,100
B_ce,0.6446473601260836,0.1025098920864938,100,0.9422458628841608,0.08022077636559403,100,0.28192,0.22412016337642243,100,0.24983555555555553,0.10608206156560226,100,0.9535333333333333,0.08387209009673102,100,0.276575,0.21404434515286597,100,0.23827083333333335,0.10013612557888506,100,0.2809333333333333,0.22214497647345205,100,0.2907666666666667,0.22840925278204782,100,0.2772,0.2201650844752586,100,0.2574,0.19644173634954062,100
B_mab,0.6649625689519305,0.10411509584438398,100,0.9221631205673759,0.1094541701453775,100,0.31925333333333333,0.21633181646446464,100,0.27412444444444445,0.12256005272724184,100,0.9338666666666667,0.11225344100220276,100,0.31361666666666665,0.2080399354900354,100,0.2648861111111111,0.11540433835950896,100,0.32016666666666665,0.21214069775821498,100,0.3379666666666667,0.22052274136986294,100,0.30746666666666667,0.21306860679344078,100,0.28886666666666666,0.20064778371281963,100
B_sa,0.631924743892829,0.12674836685629776,100,0.8867139479905437,0.17017020213760517,100,0.3054,0.21169788735521708,100,0.2603711111111111,0.10517901084453445,100,0.8981,0.17474191647609155,100,0.30038333333333334,0.19955482933322674,100,0.2527361111111111,0.09914975849058703,100,0.3038,0.2138524932959373,100,0.3207666666666667,0.215696015363685,100,0.29603333333333337,0.20275193968496508,100,0.2809333333333333,0.17821668043475947,100
