comparison,metric,diff,ci_lo,ci_hi,p,q_bh,p_holm
S_ce vs N,final_E4,0.03814814814814815,0.011514309764309841,0.06757575757575762,0.009916712038436916,0.3199891993276535,1.0
S_ce vs N,final_E7,0.0338666666666666,0.009865833333333358,0.06020083333333324,0.010860649430589035,0.3199891993276535,1.0
S_ce vs N,final_E0,0.0339716312056737,0.009668144208037613,0.061040484633569744,0.012468866329678299,0.3199891993276535,1.0
S_ce vs N,final_E2,0.03350877192982493,0.008594736842105032,0.06171929824561385,0.016031964434673866,0.3199891993276535,1.0
S_ce vs N,final_steps_E7,7.50040000000007,2.0136933333333404,13.96828166666669,0.017755302332033953,0.3199891993276535,1.0
S_ce vs N,final_E3a,0.032326388888888835,0.00735937499999982,0.06048697916666678,0.019727997816062975,0.3199891993276535,1.0
S_ce vs N,final_E1,0.031256038647343054,0.0069070048309178384,0.05896135265700465,0.021821991798304168,0.3199891993276535,1.0
S_ce vs N,final_steps_E2,7.779754385965077,1.8447412280700564,14.958902631578995,0.025067882971579795,0.3199891993276535,1.0
S_ce vs N,final_E3b,0.028840579710144976,0.005433876811594122,0.0549284420289855,0.025990701546635,0.3199891993276535,1.0
S_ce vs N,final_steps_E0,7.030449172576823,1.5319341016548194,13.656265366430153,0.026665766610637794,0.3199891993276535,1.0
S_ce vs N,final_steps_E3a,7.695625000000064,1.347038194444518,15.037481770833368,0.03149156588791769,0.34354435514092024,1.0
S_ce vs N,final_steps_E1,6.989082125603716,1.1699456521739382,13.944216183574941,0.03917431055957192,0.36976084464927095,1.0
S_ce vs N,final_steps_E4,7.71175084175087,1.0546153198654806,15.380193602693694,0.040057424837004356,0.36976084464927095,1.0
S_ce vs N,final_steps_E3b,5.609891304347855,0.2884420289853879,12.107991847826053,0.07032960373740779,0.5726268720631884,1.0
S_ce vs N,final_steps_E6,-22.767930107526894,-47.43364717741933,1.89838743279561,0.07233191932451392,0.5726268720631884,1.0
S_ce vs N,final_E1b,0.02376344086021509,-0.00039426523297503844,0.051003584229390886,0.07836972114597458,0.5726268720631884,1.0
S_ce vs N,auc_E5,-0.01921507352941154,-0.04052541360294124,0.0019805147058824563,0.0811221402089517,0.5726268720631884,1.0
S_ce vs N,auc_E1b,0.019603942652329787,-0.0038068548387096136,0.04275152329749097,0.10371009828005617,0.6914006552003745,1.0
S_ce vs N,auc_E3a,0.01869097222222238,-0.004944574652777861,0.04204882812499991,0.12120505643809687,0.7655056196090329,1.0
S_ce vs N,auc_E1,0.017072463768115886,-0.006763315217391291,0.0404787137681159,0.1604965473486533,0.9251917830295989,1.0
S_sa vs N,final_E3b,-0.02637681159420302,-0.06394927536231887,0.009130434782608454,0.1619085620301798,0.9251917830295989,1.0
S_ce vs N,auc_E2,0.015407017543859758,-0.00814912280701741,0.038489385964912214,0.19869240370559033,0.9713628547009459,1.0
S_sa vs N,final_E0,-0.024692671394799137,-0.06281412529550814,0.011952718676122924,0.1996266454024357,0.9713628547009459,1.0
S_sa vs N,final_E7,-0.02403333333333335,-0.06113500000000015,0.011900833333333345,0.20121064017798188,0.9713628547009459,1.0
S_ce vs N,auc_E0,0.014325650118203304,-0.008325517139479988,0.036705141843971695,0.2154449118169453,0.9713628547009459,1.0
S_sa vs N,final_steps_E3b,-5.398369565217308,-14.216166666666721,3.10845199275364,0.22894213160503968,0.9713628547009459,1.0
S_sa vs N,final_E5,-0.018308823529411322,-0.04868903186274501,0.011141544117647005,0.23280882532559521,0.9713628547009459,1.0
S_sa vs N,final_E2,-0.023508771929824146,-0.06294824561403532,0.013789473684210577,0.23561892956211578,0.9713628547009459,1.0
S_sa vs N,final_E1,-0.023140096618357475,-0.062198671497584374,0.013574879227053364,0.23610980604854226,0.9713628547009459,1.0
S_sa vs N,auc_E6,-0.010665994623655861,-0.02832792338709674,0.007181468413978504,0.24284071367523646,0.9713628547009459,1.0
S_ce vs N,final_steps_E1b,4.389892473118266,-2.611866487455185,12.442530465949849,0.25699482903956883,0.9792819224349256,1.0
S_sa vs N,final_steps_E0,-5.090413711583892,-14.081617612293192,3.588971335697461,0.2638576741988975,0.9792819224349256,1.0
S_sa vs N,final_E3a,-0.021319444444444557,-0.06049131944444446,0.015729166666666575,0.27792356731447226,0.9792819224349256,1.0
S_sa vs N,final_E4,-0.021582491582491592,-0.06114478114478095,0.017038720538720444,0.2867405634576528,0.9792819224349256,1.0
S_ce vs N,auc_E3b,0.012099637681159403,-0.010281521739130516,0.034288994565217376,0.2917204138608705,0.9792819224349256,1.0
S_sa vs N,final_steps_E7,-4.740799999999922,-13.68723583333335,3.925617499999904,0.29378457673047764,0.9792819224349256,1.0
