id,a,b,metric,n_a,n_b,mean_a,mean_b,mean_diff,sd_a,sd_b,sd_diff,t,p,ci_lo,ci_hi,detectable,p_adj
C1,A,N,final_E7,100,100,0.9246333333333334,0.9184666666666667,0.006166666666666765,0.13119317325728264,0.13475789489187726,0.018807269590508244,0.3278873967850704,0.7433435030405194,-0.031001666666666795,0.042935833333333666,0.08349960740336133,0.9033483892853978
C1,A,N,auc_E6,100,100,0.25518444444444444,0.24343777777777778,0.011746666666666655,0.10933394037315626,0.10828376006978022,0.015388074347484357,0.7633617047468322,0.44615638593179163,-0.018091222222222172,0.041137777777777745,0.06831922946205594,0.9033483892853978
C1,A,N,S_edge,100,100,0.2914,0.2865333333333333,0.004866666666666686,0.20368535240264443,0.1688036284656375,0.02645418450199409,0.18396585486503433,0.8542349942684654,-0.047034791666666596,0.05620041666666674,0.11745001098976109,0.9107345880410316
C1,A,N,auc_edge,100,100,0.24767916666666667,0.2373791666666667,0.010299999999999976,0.10255093588207735,0.100556049007523,0.014362525349775125,0.7171440780197644,0.4741306679400345,-0.01726649305555553,0.03751177083333329,0.0637660465415086,0.9033483892853978
C1,A,N,final_E1v,100,100,0.29836666666666667,0.28996666666666665,0.008400000000000019,0.2145904119325424,0.1807873384072985,0.028059420275866945,0.29936470238569407,0.7649848363133481,-0.04560083333333325,0.06356750000000001,0.12457685926846393,0.9033483892853978
C1,A,N,final_E2v,100,100,0.31233333333333335,0.3111,0.001233333333333364,0.22084700739063837,0.1866799267777026,0.02891760635583953,0.042649910859039984,0.9660247778335309,-0.05586750000000001,0.0577349999999999,0.1283869923881011,0.9821201569981042
C1,A,N,final_E3v,100,100,0.2871666666666666,0.2822,0.004966666666666619,0.20825304850349458,0.1721046976001147,0.02701654292225891,0.18383797960228976,0.8543353642330025,-0.04793583333333322,0.05730083333333342,0.11994674275011108,0.9107345880410316
C1,A,N,final_E4v,100,100,0.2677333333333333,0.26286666666666664,0.004866666666666686,0.1880724363161917,0.15271359165916137,0.024226572679466873,0.20088135168997337,0.8410062349666299,-0.04240000000000002,0.052268333333333354,0.10755996758218517,0.9107345880410316
C1,A,N,auc_E1v,100,100,0.2554166666666667,0.24303888888888892,0.012377777777777765,0.10851921877826488,0.10657474922778008,0.015210061806978014,0.8137887889514779,0.4167438487788778,-0.017134166666666693,0.04132263888888892,0.06752889798019872,0.9033483892853978
C1,A,N,auc_E2v,100,100,0.26787222222222223,0.2588944444444444,0.008977777777777807,0.10931100911643858,0.11044247455489534,0.01553912381695404,0.5777531528503915,0.5640873001235449,-0.021095416666666665,0.03847833333333338,0.06898985160305879,0.9033483892853978
C1,A,N,auc_E3v,100,100,0.24567222222222218,0.2338388888888889,0.011833333333333279,0.10614629707315247,0.1034982963027569,0.01482529383179814,0.7981854165987905,0.42571979405424726,-0.016661666666666738,0.04025013888888889,0.06582062370283524,0.9033483892853978
