arm,seed,learning_rate,step,E0/n_learnable,E0/success,E0/success_all,E0/mean_steps,E1/n_learnable,E1/success,E1/success_all,E1/mean_steps,E1b/n_learnable,E1b/success,E1b/success_all,E1b/mean_steps,E2/n_learnable,E2/success,E2/success_all,E2/mean_steps,E3a/n_learnable,E3a/success,E3a/success_all,E3a/mean_steps,E3b/n_learnable,E3b/success,E3b/success_all,E3b/mean_steps,E4/n_learnable,E4/success,E4/success_all,E4/mean_steps,E5/n_learnable,E5/success,E5/success_all,E5/mean_steps,n_episodes,n_new,wall_time_sec
N,1,0.0003,204800,282,0.9645390070921985,0.9066666666666666,495.01418439716315,138,0.9855072463768116,0.9066666666666666,498.69565217391306,93,0.978494623655914,0.91,494.1290322580645,95,0.9894736842105263,0.94,498.9684210526316,96,0.9895833333333334,0.95,499.65625,92,0.967391304347826,0.89,495.6521739130435,99,0.9494949494949495,0.94,495.6666666666667,272,0.9485294117647058,0.80625,489.15808823529414,2267,2267,83.08404278755188
N,1,0.0003,225280,282,0.0673758865248227,0.06333333333333334,245.0921985815603,138,0.021739130434782608,0.02,217.2463768115942,93,0.021505376344086023,0.02,216.48387096774192,95,0.021052631578947368,0.02,219.2421052631579,96,0.041666666666666664,0.04,247.04166666666666,92,0.021739130434782608,0.02,234.18478260869566,99,0.08080808080808081,0.08,242.25252525252526,272,0.058823529411764705,0.05,229.88235294117646,2267,2267,83.08404278755188
N,1,0.0003,245760,282,0.05319148936170213,0.05,255.9290780141844,138,0.050724637681159424,0.04666666666666667,243.1086956521739,93,0.053763440860215055,0.05,234.70967741935485,95,0.021052631578947368,0.02,237.32631578947368,96,0.0625,0.06,261.40625,92,0.043478260869565216,0.04,255.15217391304347,99,0.04040404040404041,0.04,245.05050505050505,272,0.06985294117647059,0.059375,247.7389705882353,2267,2267,83.08404278755188
N,1,0.0003,266240,282,0.0851063829787234,0.08,302.9255319148936,138,0.07246376811594203,0.06666666666666667,291.4855072463768,93,0.053763440860215055,0.05,267.1182795698925,95,0.07368421052631578,0.07,284.2,96,0.09375,0.09,297.1979166666667,92,0.13043478260869565,0.12,302.0326086956522,99,0.13131313131313133,0.13,276.1515151515151,272,0.11029411764705882,0.09375,300.44485294117646,2267,2267,83.08404278755188
N,1,0.0003,286720,282,0.1950354609929078,0.18333333333333332,356.74468085106383,138,0.13043478260869565,0.12,334.2463768115942,93,0.0967741935483871,0.09,317.3010752688172,95,0.12631578947368421,0.12,331.7894736842105,96,0.17708333333333334,0.17,349.9375,92,0.21739130434782608,0.2,353.19565217391306,99,0.23232323232323232,0.23,335.5353535353535,272,0.22426470588235295,0.190625,354.40441176470586,2267,2267,83.08404278755188
N,1,0.0003,307200,282,0.9822695035460993,0.9233333333333333,498.5177304964539,138,1.0,0.92,500.0,93,0.989247311827957,0.92,495.5483870967742,95,1.0,0.95,500.0,96,1.0,0.96,500.0,92,0.9456521739130435,0.87,495.7173913043478,99,1.0,0.99,500.0,272,0.9632352941176471,0.81875,490.3014705882353,2267,2267,83.08404278755188
N,1,0.0003,327680,282,0.10638297872340426,0.1,327.0248226950355,138,0.043478260869565216,0.04,299.5869565217391,93,0.06451612903225806,0.06,296.258064516129,95,0.031578947368421054,0.03,298.86315789473684,96,0.0625,0.06,319.9375,92,0.09782608695652174,0.09,320.4782608695652,99,0.16161616161616163,0.16,318.1313131313131,272,0.11029411764705882,0.09375,320.7352941176471,2267,2267,83.08404278755188
N,1,0.0003,348160,282,0.14184397163120568,0.13333333333333333,351.60283687943263,138,0.07246376811594203,0.06666666666666667,323.4130434782609,93,0.0967741935483871,0.09,317.36559139784947,95,0.06315789473684211,0.06,322.53684210526313,96,0.13541666666666666,0.13,343.4166666666667,92,0.14130434782608695,0.13,344.55434782608694,99,0.2222222222222222,0.22,337.64646464646466,272,0.15441176470588236,0.13125,343.1102941176471,2267,2267,83.08404278755188
N,1,0.0003,368640,282,0.7801418439716312,0.7333333333333333,477.07801418439715,138,0.7971014492753623,0.7333333333333333,484.77536231884056,93,0.8172043010752689,0.76,477.48387096774195,95,0.7157894736842105,0.68,477.9684210526316,96,0.7604166666666666,0.73,483.9479166666667,92,0.782608695652174,0.72,482.4021739130435,99,0.7575757575757576,0.75,468.8686868686869,272,0.8014705882352942,0.68125,474.6470588235294,2267,2267,83.08404278755188
N,1,0.0003,389120,282,0.9468085106382979,0.89,493.0354609929078,138,0.9782608695652174,0.9,498.9710144927536,93,0.989247311827957,0.92,495.40860215053766,95,0.9578947368421052,0.91,497.05263157894734,96,1.0,0.96,500.0,92,0.9565217391304348,0.88,493.4130434782609,99,0.9494949494949495,0.94,492.93939393939394,272,0.9301470588235294,0.790625,487.93382352941177,2267,2267,83.08404278755188
