arm,seed,final_random,auc_random,final_steps_random,auc_steps_random,final_verifai,auc_verifai,final_steps_verifai,auc_steps_verifai
A,1,0.6711409395973155,0.6390753169276661,90.48657718120803,95.89802386278893,0.0,0.0,200.0,200.0
A,2,0.6711409395973155,0.6446681580909769,90.48657718120803,94.7619313944817,0.0,0.0,200.0,200.0
A,3,0.6711409395973155,0.6571588366890381,90.48657718120803,92.74888143176732,0.0,0.0,200.0,200.0
A,4,0.6711409395973155,0.5436241610738255,90.48657718120803,113.17468307233406,0.0,0.0,200.0,200.0
A,5,0.6711409395973155,0.42953020134228187,90.48657718120803,130.55201342281876,0.0,0.0,200.0,200.0
A,6,0.6711409395973155,0.6066368381804624,90.48657718120803,101.04679343773302,0.0,0.0,200.0,200.0
A,7,0.6711409395973155,0.587061894108874,90.48657718120803,104.13236390753167,0.0,0.0,200.0,200.0
A,8,0.6711409395973155,0.6444817300521999,90.48657718120803,94.72334079045486,0.0,0.0,200.0,200.0
A,9,0.6711409395973155,0.5596569724086503,90.48657718120803,108.68139448173002,0.0,0.0,200.0,200.0
A,10,0.6711409395973155,0.6500745712155109,90.48657718120803,93.76957494407156,0.0,0.0,200.0,200.0
A,11,0.6711409395973155,0.5673005219985086,90.48657718120803,107.44854586129752,0.0,0.0,200.0,200.0
A,12,0.6711409395973155,0.3087248322147651,90.48657718120803,150.79064131245337,0.0,0.0,200.0,200.0
A,13,0.02796420581655477,0.005592841163310944,195.7774049217002,199.14485458612975,0.0,0.0,200.0,200.0
A,14,0.6711409395973155,0.6646159582401194,90.48657718120803,91.52460850111854,0.0,0.0,200.0,200.0
A,15,0.6711409395973155,0.5622669649515287,90.48657718120803,108.10607755406411,0.0,0.0,200.0,200.0
A,16,0.6711409395973155,0.3557046979865771,90.48657718120803,142.0868754660701,0.0,0.0,200.0,200.0
A,17,0.6711409395973155,0.4504101416853095,90.48657718120803,126.84246830723339,0.0,0.0,200.0,200.0
A,18,0.6711409395973155,0.6644295302013423,90.48657718120803,91.41909023117076,0.0,0.0,200.0,200.0
A,19,0.6711409395973155,0.6506338553318419,90.48657718120803,93.96215510812823,0.0,0.0,200.0,200.0
A,20,0.6711409395973155,0.5137956748695004,90.48657718120803,116.26081282624905,0.0,0.0,200.0,200.0
A,21,0.6711409395973155,0.6644295302013423,90.48657718120803,91.56730052199848,0.0,0.0,200.0,200.0
A,22,0.6711409395973155,0.6083146905294556,90.48657718120803,101.33612975391497,0.0,0.0,200.0,200.0
A,23,0.6711409395973155,0.5749440715883669,90.48657718120803,105.88907531692765,0.0,0.0,200.0,200.0
A,24,0.6711409395973155,0.6556674123788218,90.48657718120803,92.82587621178223,0.0,0.0,200.0,200.0
A,25,0.0,0.1465324384787472,200.0,176.14578672632365,0.0,0.0,200.0,200.0
A,26,0.6711409395973155,0.6226696495152871,90.48657718120803,98.49422073079788,0.0,0.0,200.0,200.0
A,27,0.6711409395973155,0.5305741983594333,90.48657718120803,113.54567486950035,0.0,0.0,200.0,200.0
A,28,0.6711409395973155,0.6271439224459359,90.48657718120803,97.5370991797166,0.0,0.0,200.0,200.0
A,29,0.6711409395973155,0.6019761372110365,90.48657718120803,101.8008948545861,0.0,0.0,200.0,200.0
A,30,0.6711409395973155,0.6366517524235645,90.48657718120803,95.83929903057418,0.0,0.0,200.0,200.0
